elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb
0,3.016,0.000,0.000,0.000
60,41.531,19.520,1.516,20.973
121,59.750,27.637,2.520,30.172
180,83.359,36.129,2.520,38.973
240,115.406,53.129,4.527,57.652
300,150.234,66.305,4.527,70.836
360,186.703,69.602,4.527,74.129
420,232.641,68.180,4.527,72.707
480,292.500,118.305,8.543,126.723
540,351.484,155.938,8.543,164.352
600,414.875,184.840,8.543,193.258
660,475.953,251.227,8.543,259.770
720,547.516,290.609,8.543,299.090
780,620.828,390.035,8.543,398.328
840,698.484,549.098,8.543,557.574
900,780.125,686.516,16.574,703.090
960,861.625,827.211,16.574,843.613
1020,948.094,997.418,16.574,1013.926
1080,1036.688,1212.277,16.574,1228.852
1140,1134.484,1496.570,16.574,1512.902
1200,1228.656,1744.484,16.574,1761.059
1260,1334.844,1992.535,16.574,2009.109
1320,1437.594,2250.621,16.574,2267.207
1380,1545.172,2574.902,16.574,2591.355
1440,1653.906,2937.293,16.574,2953.871
1500,1767.125,3324.605,16.574,3341.074
1560,1883.141,3716.934,16.574,3732.398
1620,1994.422,4177.883,16.574,4196.227
1680,2126.578,4591.617,16.574,4607.070
1740,2262.562,5056.621,16.574,5074.172
1800,2396.375,5515.156,32.637,5547.793
1860,2524.016,6001.539,32.637,6034.180
1920,2669.766,6644.383,32.637,6677.023
1980,2830.344,7203.824,32.637,7235.457
2040,2990.500,7788.242,32.637,7820.879
2100,3156.797,8477.809,32.637,8510.297
2160,3306.047,9157.020,32.637,9189.660
2220,3486.234,9790.531,32.637,9822.848
2280,3687.406,10537.934,32.637,10570.242
2340,3844.453,11321.863,32.637,11354.500
2400,3971.672,12139.648,32.637,12171.285
2460,4079.625,12875.656,32.637,12908.984
2520,4199.703,13771.941,32.637,13804.398
2580,4324.406,14612.152,32.637,14643.789
2640,4478.438,15510.680,32.637,15548.172
2700,4638.891,16484.066,32.637,16516.699
2760,4775.469,17485.523,32.637,17518.160
2820,4983.531,18486.230,32.637,18518.863
2880,5200.719,19632.180,32.637,19664.613
2940,5398.641,20776.684,32.637,20809.320
3000,5571.562,21948.312,32.637,21980.887
3060,5745.062,23012.129,32.637,23044.766
3120,5917.797,24186.359,32.637,24230.109
3180,6120.812,25400.707,32.637,25433.352
3240,6300.938,26646.566,32.637,26679.203
3300,6466.984,27955.043,32.637,27987.676
3360,6607.547,29259.332,32.637,29290.262
3420,6810.547,30667.914,32.637,30700.312
3480,7040.547,32092.559,35.516,32127.824
3540,7238.031,33557.816,44.277,33598.777
3600,7458.703,35038.371,48.777,35084.152
