elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb
0,3.031,0.000,0.000,0.000
60,42.281,2.883,1.516,4.398
120,61.328,2.793,2.520,5.312
180,79.734,2.918,4.527,7.445
240,102.875,2.941,4.527,7.473
300,130.641,2.867,4.527,7.395
360,159.531,3.023,4.527,7.551
420,196.781,3.152,4.527,7.680
480,244.516,2.793,8.543,11.336
540,297.641,3.004,8.543,11.547
600,350.016,3.016,8.543,11.586
660,395.766,3.191,8.543,11.734
720,443.969,2.980,8.543,11.523
780,496.500,3.625,8.543,12.176
840,555.703,3.559,8.543,12.102
900,611.688,4.016,16.574,20.590
960,677.438,4.039,16.574,20.613
1020,739.422,4.395,16.574,20.969
1080,799.656,4.812,16.574,21.387
1140,869.438,5.238,16.574,21.809
1200,940.531,5.797,16.574,22.371
1260,1028.109,6.426,16.574,23.012
1320,1110.672,7.195,16.574,23.770
1380,1193.656,7.652,16.574,24.227
1440,1270.766,7.941,16.574,24.516
1500,1353.766,8.930,16.574,25.504
1560,1429.891,9.461,16.574,26.035
1620,1531.062,10.488,16.574,27.059
1680,1639.797,11.438,16.574,28.008
1740,1732.625,12.102,16.574,28.676
1800,1834.016,13.141,32.637,45.777
1860,1929.422,13.840,32.637,46.480
1920,2030.391,14.738,32.637,47.387
1980,2145.797,15.820,32.637,48.457
2040,2252.531,16.945,32.637,49.578
2100,2374.891,18.164,32.637,50.801
2160,2483.312,19.301,32.637,51.938
2220,2600.703,20.246,32.637,52.883
2280,2717.922,21.367,32.637,54.008
2340,2870.203,22.543,32.637,55.176
2400,2994.188,23.660,32.637,56.305
2460,3109.297,24.844,32.637,57.480
2520,3250.938,26.477,32.637,59.113
2580,3379.688,27.832,32.637,60.473
2640,3507.656,29.254,32.637,61.891
2700,3659.688,30.734,32.637,63.367
2760,3777.531,32.125,32.637,64.758
2820,3913.500,33.461,32.637,66.090
2880,4069.156,35.082,32.637,67.715
2940,4216.297,36.586,32.637,69.215
3000,4370.047,38.188,32.637,70.832
3060,4511.844,39.371,32.637,72.012
3120,4677.953,40.988,32.637,73.621
3180,4855.422,42.531,32.637,75.164
3240,5028.328,43.863,32.637,76.500
3300,5209.656,45.773,32.637,78.414
3360,5362.141,47.422,32.637,80.059
3420,5534.016,49.102,32.637,81.742
3480,5704.953,50.652,32.637,83.289
3540,5879.969,52.270,38.777,91.047
3600,6090.453,53.828,48.777,102.605
