elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,2.953,0.000,0.000,0.000,
60,42.719,16.141,1.516,17.574,41071
120,58.625,31.715,2.520,34.230,25221
180,71.578,46.535,2.520,49.059,26313
240,88.656,68.297,4.527,73.398,26796
300,101.781,96.996,4.527,101.523,25704
360,115.859,76.852,4.527,81.375,21294
420,126.156,120.031,8.543,128.508,22386
480,144.297,145.090,8.543,153.633,17512
540,157.844,102.082,8.543,110.562,15224
600,170.766,103.605,8.543,112.086,37488
660,176.141,164.668,8.543,173.648,33616
720,180.578,152.496,8.543,160.969,31900
780,196.359,278.027,8.543,286.512,28446
840,225.906,358.980,8.543,367.523,28402
900,238.453,444.941,16.574,461.434,50996
960,273.828,624.180,16.574,640.684,28160
1020,323.359,696.484,16.574,713.059,50270
1080,385.781,890.875,16.574,907.449,50446
1140,451.922,1120.961,16.574,1137.449,49060
1200,507.594,1241.039,16.574,1257.266,46882
1260,544.328,1564.105,16.574,1582.723,43252
1320,593.234,1758.801,16.574,1775.375,44506
1380,643.531,2128.762,16.574,2145.332,45738
1440,694.203,2398.957,16.574,2415.531,58520
1500,756.781,2790.355,16.574,2806.930,70906
1560,818.078,3147.484,16.574,3164.516,69850
1620,889.078,3583.211,16.574,3599.785,71588
1681,963.547,4054.066,16.574,4070.395,72930
1740,1024.547,4544.488,32.637,4577.121,75526
1800,1091.000,5111.809,32.637,5144.445,75834
