elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,2.969,0.000,0.000,0.000,
60,42.875,15.785,1.516,17.293,45290
120,59.906,29.828,2.520,32.430,24297
180,73.531,39.918,2.520,42.438,35133
240,92.969,67.500,4.527,72.027,23940
300,105.750,96.172,4.527,100.703,22134
360,122.531,90.398,4.527,94.926,42252
420,134.344,100.812,4.527,105.340,40614
480,153.062,112.926,8.543,121.469,40183
540,167.625,88.652,8.543,97.070,19008
600,181.281,93.250,8.543,101.793,37202
660,223.031,178.852,8.543,187.391,34232
721,267.750,215.992,8.543,224.535,32406
780,314.000,184.816,8.543,193.172,29788
840,381.547,248.375,8.543,257.918,26972
900,402.656,308.469,16.574,324.910,25564
960,454.000,311.559,16.574,327.059,44352
1020,501.688,397.969,16.574,414.543,21626
1080,561.859,492.691,16.574,509.266,45540
1140,613.516,611.125,16.574,627.699,35178
1200,658.906,830.801,16.574,847.379,43340
1260,683.203,993.035,16.574,1008.613,44176
1320,686.109,1197.953,16.574,1214.523,41866
1380,732.547,1375.113,16.574,1391.355,66330
1440,796.141,1651.480,16.574,1666.902,67672
1500,856.297,1920.164,16.574,1936.523,68288
1560,907.172,2134.113,16.574,2150.570,66726
1620,966.078,2564.367,16.574,2580.938,67826
1680,974.297,2899.785,16.574,2916.121,68178
1740,978.953,3322.078,32.637,3354.590,68794
1800,992.156,3758.574,32.637,3791.047,70246
