elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,2.953,0.000,0.000,0.000,
60,43.297,17.609,1.516,19.125,13125
120,60.938,31.496,2.520,34.016,19299
180,77.516,48.027,2.520,50.484,22176
240,95.547,71.402,4.527,75.930,23772
300,107.250,74.680,4.527,79.207,27027
360,121.359,91.867,4.527,96.387,17052
420,161.000,105.996,8.543,114.539,17262
480,223.422,125.945,8.543,134.484,21164
540,293.047,134.680,8.543,143.223,21120
600,349.625,156.434,8.543,164.973,20790
660,382.500,183.418,8.543,191.844,25058
720,419.516,206.078,8.543,214.617,26180
780,458.984,193.426,8.543,201.590,15268
840,515.531,199.477,16.574,216.051,13706
900,563.609,186.617,16.574,203.191,19030
960,606.922,246.586,16.574,263.156,22858
1020,653.688,261.305,16.574,277.883,25410
1080,706.312,233.047,16.574,249.621,25806
1140,764.500,283.785,16.574,303.211,13156
1200,838.703,267.043,16.574,283.617,19404
1260,854.156,305.586,16.574,322.160,26378
1320,856.703,316.941,16.574,333.520,24442
1380,867.125,253.383,16.574,269.957,16302
1440,870.547,323.395,16.574,339.969,20438
1500,876.531,357.422,16.574,373.992,22770
1560,884.516,312.125,16.574,328.699,15972
1620,892.922,363.656,16.574,379.230,20724
1680,900.922,389.867,32.637,427.484,15092
1740,908.688,408.410,32.637,440.047,20790
1800,912.719,446.059,32.637,478.691,22022
