elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.031,0.000,0.000,0.000,
60,39.719,2.781,1.516,4.297,13293
120,55.016,3.047,2.520,5.559,24066
180,67.969,3.031,2.520,5.562,13671
240,85.188,3.078,4.527,7.609,19320
300,122.500,3.129,4.527,7.656,19614
360,163.281,3.152,4.527,7.680,22638
420,137.234,3.062,8.543,11.605,17952
480,174.391,3.062,8.543,11.613,24706
540,219.000,2.941,8.543,11.480,16060
600,261.906,3.094,8.543,11.641,20240
660,307.766,2.953,8.543,11.500,16126
720,359.609,3.145,8.543,11.688,19426
780,417.094,3.168,8.543,11.711,22022
840,474.266,2.938,16.574,19.512,16478
900,550.094,3.191,16.574,19.766,21582
960,602.734,3.023,16.574,19.598,17908
1020,379.047,3.180,16.574,19.750,23628
1080,413.312,2.914,16.574,19.488,13618
1140,413.500,3.113,16.574,19.688,20768
1200,519.609,3.035,16.574,19.609,15180
1260,617.109,3.180,16.574,19.758,24486
1320,613.156,2.992,16.574,19.566,14454
1380,689.562,3.160,16.574,19.734,18040
1440,735.406,3.289,16.574,19.863,21890
1500,779.922,3.203,16.574,19.773,21912
1560,822.969,3.086,16.574,19.660,17204
1620,881.234,3.266,16.574,19.836,22198
1680,946.188,3.137,16.574,19.711,14124
1740,1009.234,3.160,32.637,35.797,17424
