elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.031,0.000,0.000,0.000,
60,41.469,2.914,1.516,4.434,32512
120,56.734,2.887,2.520,5.406,24297
180,72.344,2.887,2.520,5.406,22953
240,101.156,2.910,4.527,7.434,21819
300,131.734,2.969,4.527,7.500,35343
360,166.172,3.043,4.527,7.570,18165
420,204.484,2.910,8.543,11.449,15519
480,234.500,3.113,8.543,11.652,38093
540,277.484,2.645,8.543,11.188,15818
600,329.578,3.051,8.543,11.594,34540
660,387.078,2.875,8.543,11.418,29832
720,448.953,3.117,8.543,11.656,26664
780,512.656,3.148,8.543,11.691,24662
840,587.875,3.137,8.543,11.680,28424
900,665.672,3.305,16.574,19.879,20460
960,707.984,3.332,16.574,19.906,26906
1020,754.000,3.809,16.574,20.383,38522
1080,798.359,3.941,16.574,20.516,34144
1140,849.500,4.148,16.574,20.727,34364
1200,902.484,4.375,16.574,20.949,32472
1260,948.578,4.656,16.574,21.234,27610
1320,1049.922,5.082,16.574,21.652,48576
1380,1141.547,5.461,16.574,22.035,24222
1440,1204.859,6.047,16.574,22.621,47454
1500,1258.969,6.562,16.574,23.141,46552
1560,1320.328,6.660,16.574,23.230,42570
1620,1386.953,7.355,16.574,23.930,41888
1680,1444.312,7.934,16.574,24.512,41580
1740,1504.188,8.598,32.637,41.234,42042
