elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
11160,4703.328,290.242,117.027,407.273,501590
11220,4728.172,292.203,121.027,413.223,490090
11280,4751.578,294.148,121.027,415.172,499037
11340,4777.562,296.102,121.027,417.090,491309
11400,4797.766,298.523,121.027,419.547,518219
11460,4817.016,300.441,121.027,421.461,517644
11520,4837.297,302.559,125.027,427.590,518679
11580,4858.141,304.523,125.027,429.547,518748
11640,4879.578,306.559,125.027,431.578,518725
11700,4902.562,308.680,125.027,433.719,519944
11760,4919.828,310.699,125.027,435.723,517207
11820,4949.094,312.488,125.027,437.520,517644
11880,4972.000,314.598,125.027,439.633,519001
11940,4995.734,316.652,125.027,441.656,520174
12000,5026.734,318.574,125.027,443.605,519875
12060,5045.438,320.648,125.027,445.656,519369
12120,5065.547,322.832,125.027,447.848,546946
12180,5088.141,324.688,125.027,449.719,532870
12240,5123.516,326.934,125.027,451.953,548648
12300,5144.656,328.875,125.027,453.895,550120
12360,5164.406,330.980,125.027,456.008,552719
12420,5185.828,332.945,125.027,457.965,553524
12480,5206.844,335.137,125.027,460.152,554881
12540,5234.328,337.039,125.027,462.062,556284
12600,5254.875,339.035,125.027,464.074,556491
12660,5279.016,341.066,125.027,466.078,554996
12720,5300.281,342.777,125.027,467.801,555502
12780,5321.125,345.016,125.027,470.039,555525
12840,5380.812,347.004,125.027,472.043,555548
12900,5399.422,348.918,125.027,473.945,555249
12960,5422.547,350.980,125.027,475.988,553386
