elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.016,0.000,0.000,0.000,
60,39.062,2.957,1.516,4.477,22021
120,55.031,2.891,2.520,5.414,17157
180,67.031,3.074,2.520,5.594,23919
240,85.500,3.105,4.527,7.633,25137
300,113.250,2.953,4.527,7.484,16842
360,157.547,3.238,4.527,7.766,23079
420,212.641,3.059,8.543,11.598,15212
480,270.969,3.074,8.543,11.621,17754
540,341.422,3.250,8.543,11.793,23650
600,377.109,3.160,8.543,11.703,22330
660,410.172,3.082,8.543,11.625,15576
720,454.578,3.262,8.543,11.801,22154
780,513.578,3.199,8.543,11.742,23716
840,621.844,3.070,16.574,19.645,16522
900,718.062,3.262,16.574,19.836,22000
960,803.141,3.176,16.574,19.750,14168
1020,878.500,3.145,16.574,19.719,18634
1080,933.234,3.359,16.574,19.934,23364
1140,990.125,3.355,16.574,19.930,23804
1200,1034.500,3.352,16.574,19.926,22528
1260,1080.188,3.320,16.574,19.895,22044
1320,1134.344,3.215,16.574,19.789,19668
1380,1181.312,3.141,16.574,19.719,17732
1440,1248.562,3.262,16.574,19.840,19998
1500,1312.203,3.266,16.574,19.848,26202
1560,1383.391,3.152,16.574,19.727,19404
1620,1459.078,3.277,16.574,19.852,26686
1680,1538.516,3.105,32.637,35.746,13772
1740,1605.422,3.148,32.637,35.785,19118
1800,1677.062,3.250,32.637,35.887,24354
