elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.047,0.000,0.000,0.000,
60,40.812,2.891,1.516,4.402,23434
120,56.562,3.023,2.520,5.551,24381
180,66.844,3.020,2.520,5.539,22176
240,84.469,2.969,4.527,7.496,21000
300,98.375,2.895,4.527,7.422,19677
360,118.625,2.852,4.527,7.379,18249
420,150.500,2.812,8.543,11.352,26796
480,161.984,3.172,8.543,11.715,36883
540,196.578,2.617,8.543,11.160,17512
600,231.578,3.230,8.543,11.773,32912
660,246.344,2.953,8.543,11.492,27456
720,255.719,3.031,8.543,11.582,24222
780,282.969,3.035,8.543,11.578,21670
840,333.141,3.156,8.543,11.699,43604
900,403.391,3.082,16.574,19.656,22286
960,481.797,3.270,16.574,19.844,31966
1020,563.250,3.316,16.574,19.891,39534
1080,648.797,3.277,16.574,19.855,18018
1140,750.125,3.375,16.574,19.945,38632
1200,821.672,3.387,16.574,19.957,37268
1260,855.891,3.113,16.574,19.688,32098
1320,891.266,3.461,16.574,20.027,29656
1380,932.141,3.527,16.574,20.102,35684
1440,944.641,3.832,16.574,20.418,28688
1500,952.031,4.113,16.574,20.688,50292
1560,960.391,4.605,16.574,21.180,46486
1620,964.578,4.902,16.574,21.477,51040
1680,969.656,5.305,16.574,21.879,49896
1740,975.328,5.582,32.637,38.223,39798
1800,988.969,6.637,32.637,39.273,45408
