elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
10,338,0,0,0,0,0,0,0,0,0,338,0,2,2,2,338,1,0,61,2,2,2,0,0,6,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6582,0
20,720,0,0,0,0,0,0,0,0,0,720,0,2,2,2,720,1,0,61,2,2,2,0,0,16,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14222,0
30,1114,0,0,0,0,0,0,0,0,0,1114,0,3,3,3,1114,2,0,1055,3,3,3,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,22102,0
40,1485,0,0,0,0,0,0,0,0,0,1485,0,3,3,3,1485,2,0,1055,3,3,3,0,0,10,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,29543,0
50,1781,1000,1000,0,0,0,0,0,19822,1,1780,1,3,3,4,781,1,1000,655,3,3,3,2,2,20,1,1000,1,1,1,0,4,0,4,1000,1,1000,1,19822,1,35759,999.9447405703887
60,2135,1000,1000,0,0,0,0,0,19822,1,2134,1,4,4,5,1135,2,0,1016,4,4,4,2,2,2,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19822,1,43193,999.9447405703887
70,2519,1000,1000,0,0,0,0,0,19822,1,2518,1,4,4,5,1519,2,0,1016,4,4,4,2,2,12,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19822,1,51278,999.9447405703887
80,2890,1000,1000,0,0,0,0,0,19822,1,2889,1,4,4,6,891,1,1000,889,4,4,4,3,3,23,1,1000,1,1,1,0,6,0,6,1000,1,1000,1,19822,1,59069,999.9447405703887
90,3155,2000,2000,0,0,0,0,0,40358,2,3153,2,5,5,7,1155,2,0,1037,5,5,5,3,3,2,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40358,2,64634,999.9447405703887
100,3549,2000,2000,0,0,0,0,0,40358,2,3547,2,5,5,7,1549,2,0,1037,5,5,5,3,3,12,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40358,2,72908,999.9447405703887
110,3772,3000,3000,0,0,0,0,0,61358,3,3769,3,5,5,8,772,1,1000,615,5,5,5,4,4,22,1,3000,3,3,3,0,8,0,8,3000,3,3000,3,61358,3,77570,999.9447405703887
120,4158,3000,3000,0,0,0,0,0,61358,3,4155,3,6,6,9,1158,2,0,1054,6,6,6,4,4,2,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61358,3,85697,999.9447405703887
130,4541,3000,3000,0,0,0,0,0,61358,3,4538,3,6,6,9,1541,2,0,1054,6,6,6,4,4,12,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61358,3,93719,999.9447405703887
140,4778,4000,4000,0,0,0,0,0,82358,4,4774,4,6,6,10,778,1,1000,718,6,6,6,5,5,22,1,4000,4,4,4,0,10,0,10,4000,4,4000,4,82358,4,98696,999.9447405703887
150,5147,4000,4000,0,0,0,0,0,82358,4,5143,4,7,7,11,1147,2,0,1022,7,7,7,5,5,2,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82358,4,106445,999.9447405703887
161,5518,4000,4000,0,0,0,0,0,82358,4,5514,4,7,7,11,1518,2,0,1022,7,7,7,5,5,12,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82358,4,114257,999.9447405703887
170,5831,4000,4000,0,0,0,0,0,82358,4,5827,4,7,7,11,1831,2,0,1022,7,7,7,5,5,22,1,4000,4,4,4,0,11,0,11,4000,4,4000,4,82358,4,120809,999.9447405703887
180,6051,5000,5000,0,0,0,0,0,103358,5,6046,5,8,8,13,1051,2,0,1022,8,8,8,6,6,4,1,5000,5,5,5,1,13,1,13,5000,5,5000,5,103358,5,125429,999.9447405703887
190,6436,5000,5000,0,0,0,0,0,103358,5,6431,5,8,8,13,1436,2,0,1022,8,8,8,6,6,14,1,5000,5,5,5,1,13,1,13,5000,5,5000,5,103358,5,133514,999.9447405703887
200,6678,6000,6000,0,0,0,0,0,124358,6,6672,6,8,8,14,678,1,1000,605,8,8,8,7,7,24,1,6000,6,6,6,1,14,1,14,6000,6,6000,6,124358,6,138617,999.9447405703887
