elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.062,0.000,0.000,0.000,
60,39.656,3.121,1.516,4.641,21145
120,56.000,2.758,2.520,5.273,22512
180,66.859,2.852,2.520,5.367,22932
240,82.719,2.953,4.527,7.480,23037
300,95.625,2.949,4.527,7.477,21924
360,112.688,2.922,4.527,7.449,20013
420,123.234,3.020,8.543,11.566,19467
480,136.500,2.973,8.543,11.508,41391
540,174.062,3.102,8.543,11.641,18546
600,213.656,3.141,8.543,11.684,41470
660,241.000,2.582,8.543,11.125,12760
720,272.438,3.066,8.543,11.609,32714
780,283.547,3.098,8.543,11.641,31328
840,291.562,3.262,8.543,11.801,30404
900,299.094,3.277,16.574,19.848,40106
960,314.891,3.746,16.574,20.324,46486
1020,341.031,3.590,16.574,20.168,25058
1080,366.750,4.148,16.574,20.719,49060
1140,377.859,4.133,16.574,20.703,23782
1200,381.094,4.336,16.574,20.910,32890
1260,385.203,4.828,16.574,21.402,47784
1320,387.297,4.555,16.574,21.129,20922
1380,390.688,5.160,16.574,21.738,41624
1440,392.578,5.344,16.574,21.922,43846
1500,396.109,5.520,16.574,22.094,43032
1560,401.203,5.730,16.574,22.297,40524
1620,254.312,6.320,16.574,22.883,41338
1680,297.094,6.492,16.574,23.066,41250
1740,352.344,7.023,32.637,39.656,41162
1800,387.938,7.684,32.637,40.316,40612
