elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7701,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15701,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23621,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31579,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39559,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44977,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53104,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58795,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66754,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74776,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82189,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87964,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95629,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101404,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110056,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118498,
