current_epoch,passes_total
346,344156
346,344554
347,344948
347,345340
347,345591
348,345897
348,346296
348,346538
349,346891
349,347237
349,347492
350,347860
350,348242
350,348452
351,348849
351,349229
351,349436
352,349829
352,350177
352,350568
353,350775
353,351171
353,351533
354,351776
354,352173
354,352450
355,352740
355,353138
355,353373
356,353745
356,354028
356,354232
356,354584
357,354982
357,355378
357,355587
358,355982
358,356365
358,356587
359,356983
359,357265
359,357534
360,357929
360,358328
360,358643
361,358919
361,359162
361,359474
362,359867
362,360262
362,360467
363,360861
363,361213
363,361415
364,361815
364,362215
364,362417
365,362805
365,363159
365,363551
365,363641
366,364028
366,364277
366,364620
367,364977
367,365188
367,365577
368,365970
368,366371
368,366591
369,366929
369,367329
369,367536
370,367933
370,368329
370,368495
371,368885
371,369241
371,369494
372,369891
372,370113
372,370449
373,370843
373,371234
373,371520
374,371828
374,372221
374,372421
375,372776
375,373175
375,373263
375,373654
376,374046
376,374439
376,374608
377,375004
377,375376
377,375604
378,376001
378,376282
378,376552
379,376957
379,377175
379,377554
380,377948
380,378346
380,378566
381,378910
381,379302
381,379503
382,379902
382,380291
382,380504
383,380858
383,381189
383,381460
384,381852
384,382248
384,382556
385,382819
385,383092
385,383309
386,383704
386,384087
386,384290
387,384693
387,385052
387,385453
387,385650
388,386047
388,386427
388,386649
389,387002
389,387300
389,387612
390,388016
390,388219
390,388615
391,389014
391,389374
391,389576
392,389972
392,390366
392,390570
393,390966
393,391289
393,391528
394,391925
394,392237
394,392522
395,392797
395,393150
395,393355
396,393749
396,394144
396,394353
397,394751
397,395145
397,395499
398,395703
398,396089
398,396296
399,396691
399,397084
399,397360
399,397650
400,398041
400,398253
400,398648
401,399039
401,399395
401,399616
402,399990
402,400190
402,400580
403,400974
403,401362
403,401522
404,401921
404,402272
404,402519
405,402913
405,403156
405,403515
406,403872
406,404267
406,404571
407,404868
407,405261
407,405464
408,405863
408,406216
408,406416
409,406805
409,407202
409,407406
410,407801
410,408196
410,408395
411,408747
411,409134
411,409490
412,409746
412,410140
412,410363
413,410738
413,411089
413,411292
414,411686
414,412080
414,412357
414,412563
415,412960
415,413328
415,413524
416,413918
416,414217
416,414515
417,414908
417,415303
417,415572
418,415850
418,416246
418,416448
419,416833
419,417225
419,417438
420,417831
420,418181
420,418383
421,418770
421,419152
421,419368
422,419764
422,420127
422,420512
423,420716
423,421114
423,421397
424,421709
424,421988
424,422155
424,422555
425,422950
425,423340
425,423547
426,423952
426,424299
426,424501
427,424902
427,425232
427,425487
428,425890
428,426123
428,426447
429,426847
429,427239
429,427498
430,427832
430,428218
430,428377
431,428778
431,429180
431,429386
432,429781
432,430110
432,430377
433,430734
433,431129
433,431501
434,431723
434,432112
434,432327
435,432663
435,433056
435,433258
436,433655
436,434043
436,434251
437,434642
437,434997
437,435388
437,435588
438,435981
438,436332
438,436572
439,436916
439,437232
439,437499
440,437891
440,438285
440,438579
441,438885
441,439241
441,439446
442,439833
442,440229
442,440432
443,440824
443,441178
443,441379
444,441766
444,442159
444,442426
445,442754
445,443150
445,443427
446,443699
446,444097
446,444302
447,444691
447,445079
447,445247
448,445641
448,446030
448,446227
449,446624
449,447015
449,447408
449,447574
450,447969
450,448292
450,448570
451,448965
451,449166
451,449525
452,449918
452,450313
452,450550
453,450914
453,451001
453,451393
454,451745
454,452140
454,452405
455,452745
455,453143
455,453467
456,453707
456,454099
456,454366
457,454649
457,455041
457,455256
458,455648
458,456003
458,456205
459,456598
459,456982
459,457380
459,457588
460,457937
460,458144
460,458543
461,458937
461,459262
461,459541
462,459937
462,460134
462,460496
