elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
11160,4216.688,276.055,121.027,397.086,396278
11220,4244.609,278.055,125.027,403.062,396324
11280,4275.062,280.316,125.027,405.344,396439
11340,4297.844,282.195,125.027,407.230,396761
11400,4320.797,284.410,125.027,409.445,424315
11460,4340.641,286.000,125.027,411.012,396830
11520,4367.094,288.402,125.027,413.430,423487
11580,4411.031,290.242,125.027,415.262,414816
11640,4439.219,292.438,125.027,417.473,423441
11700,4460.812,294.418,125.027,419.465,423165
11760,4509.422,296.375,127.027,423.398,420865
11820,4528.562,298.453,127.027,425.473,421233
11880,4555.953,300.219,127.027,427.242,421141
11940,4577.688,302.531,127.027,429.559,420980
12000,4603.719,304.434,127.027,431.477,421095
12060,4629.406,306.461,127.027,433.473,418818
12120,4651.672,308.387,127.027,435.414,418910
12180,4671.969,310.641,127.027,437.652,418864
12240,4693.562,312.539,127.027,439.555,418956
12300,4727.969,314.641,127.027,441.660,418933
12360,4750.234,316.574,127.027,443.602,415207
12420,4771.516,318.590,127.027,445.625,414310
12480,4794.359,320.484,127.027,447.520,415299
12540,4819.766,322.781,127.027,449.812,414563
12600,4844.422,324.801,127.027,451.836,433423
12660,4868.750,327.008,127.027,454.016,441542
12720,4896.125,328.949,127.027,455.965,442117
12780,4920.656,331.094,127.027,458.098,443152
12840,4950.875,333.078,127.027,460.074,442646
12900,4974.594,335.031,127.027,462.051,442853
12960,5012.703,337.047,127.027,464.074,440185
