elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.078,0.000,0.000,0.000,
60,40.109,2.934,1.516,4.445,23328
120,54.703,2.895,2.520,5.410,23268
180,66.234,2.961,2.520,5.480,22470
240,82.500,3.027,4.527,7.551,23100
300,96.047,3.070,4.527,7.594,23142
360,114.172,2.922,4.527,7.449,27090
420,128.625,3.086,8.543,11.633,21252
480,155.422,2.922,8.543,11.469,31592
540,195.953,3.039,8.543,11.578,19382
600,214.688,3.125,8.543,11.664,39248
660,220.547,3.102,8.543,11.645,29766
720,256.031,2.797,8.543,11.336,14234
780,311.234,3.016,8.543,11.566,38038
840,363.031,3.016,16.574,19.590,37928
900,398.828,3.160,16.574,19.734,36212
960,436.844,3.086,16.574,19.656,36388
1020,472.531,3.395,16.574,19.965,34254
1080,514.250,3.426,16.574,20.000,32450
1140,550.469,3.516,16.574,20.086,30690
1200,594.938,3.758,16.574,20.328,29634
1260,624.797,3.859,16.574,20.434,26136
1320,669.672,4.164,16.574,20.738,24178
1380,721.312,4.414,16.574,20.988,40524
1440,767.344,4.977,16.574,21.551,46970
1500,809.547,5.191,16.574,21.766,47410
1560,857.781,5.535,16.574,22.109,45144
1620,896.984,5.746,16.574,22.312,43406
1680,900.141,6.496,16.574,23.078,43362
1740,905.828,6.848,32.637,39.484,42570
1800,921.750,7.500,32.637,40.137,41668
1860,927.891,8.168,32.637,40.801,38214
1920,952.094,8.957,32.637,41.598,58124
1980,999.047,9.531,32.637,42.176,60896
2040,1050.094,10.047,32.637,42.684,61974
2100,1106.125,10.910,32.637,43.543,61930
2160,1162.094,11.609,32.637,44.246,61468
2220,1226.141,12.574,32.637,45.211,78826
2280,1279.234,13.336,32.637,45.969,61402
2340,1334.906,14.195,32.637,46.832,71478
2400,1391.969,15.359,32.637,48.000,86548
2460,1440.250,16.230,32.637,48.867,85646
2520,1494.125,16.938,32.637,49.574,85844
2581,1547.547,18.113,32.637,50.750,86174
2640,1554.562,19.156,32.637,51.793,86900
2700,1574.812,20.227,32.637,52.863,99220
2760,1584.562,21.422,32.637,54.055,109846
2820,1591.469,22.520,32.637,55.160,111012
2880,1618.609,23.426,32.637,56.055,111958
2940,1630.500,24.426,32.637,57.062,112904
3001,1639.031,25.527,32.637,58.160,113278
3060,1653.047,26.664,32.637,59.297,111430
3120,1661.719,28.082,32.637,60.723,111364
3180,1672.672,29.352,32.637,61.988,111540
3240,1681.797,30.676,32.637,63.316,111914
3300,1705.422,31.980,32.637,64.613,121374
3360,1718.500,33.555,32.637,66.195,136378
3420,1728.359,34.859,32.637,67.496,136598
3480,1738.500,36.219,43.277,79.492,138226
3540,1764.656,37.531,49.277,86.809,139524
3601,1776.297,38.770,49.777,88.547,142230
3660,1797.203,40.625,51.777,92.398,164054
3720,1806.812,42.125,51.777,93.906,165638
3780,1835.625,43.594,51.777,95.371,166210
