elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
10,323,0,0,0,0,0,0,0,0,0,323,0,2,2,2,323,1,0,60,2,2,2,0,0,6,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6282,0
20,714,0,0,0,0,0,0,0,0,0,714,0,2,2,2,714,1,0,60,2,2,2,0,0,16,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14102,0
30,1088,0,0,0,0,0,0,0,0,0,1088,0,3,3,3,1088,2,0,1030,3,3,3,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,21582,0
40,1458,0,0,0,0,0,0,0,0,0,1458,0,3,3,3,1458,2,0,1030,3,3,3,0,0,10,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,28982,0
50,1773,1000,1000,0,0,0,0,0,19822,1,1772,1,3,3,4,773,1,1000,697,3,3,3,2,2,20,1,1000,1,1,1,0,4,0,4,1000,1,1000,1,19822,1,35590,999.9447405703887
60,2133,1000,1000,0,0,0,0,0,19822,1,2132,1,4,4,5,1133,2,0,1015,4,4,4,2,2,2,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19822,1,43150,999.9447405703887
70,2511,1000,1000,0,0,0,0,0,19822,1,2510,1,4,4,5,1511,2,0,1015,4,4,4,2,2,12,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19822,1,51088,999.9447405703887
80,2890,1000,1000,0,0,0,0,0,19822,1,2889,1,4,4,5,1890,2,0,1015,4,4,4,2,2,22,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19822,1,59068,999.9447405703887
90,3134,2000,2000,0,0,0,0,0,40357,2,3132,2,5,5,7,1134,2,0,1014,5,5,5,3,3,2,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40357,2,64171,999.9447405703887
100,3510,2000,2000,0,0,0,0,0,40357,2,3508,2,5,5,8,511,1,1000,501,5,5,5,4,4,13,1,2000,2,2,2,0,8,0,8,2000,2,2000,2,40357,2,72088,999.9447405703887
111,3773,3000,3000,0,0,0,0,0,61357,3,3770,3,5,5,8,773,1,1000,501,5,5,5,4,4,22,1,3000,3,3,3,0,8,0,8,3000,3,3000,3,61357,3,77590,999.9447405703887
120,4106,3000,3000,0,0,0,0,0,61357,3,4103,3,6,6,9,1106,2,0,1006,6,6,6,4,4,2,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61357,3,84583,999.9447405703887
130,4486,3000,3000,0,0,0,0,0,61357,3,4483,3,6,6,9,1486,2,0,1006,6,6,6,4,4,12,1,3000,3,3,3,0,9,0,9,3000,3,3000,3,61357,3,92563,999.9447405703887
