elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.047,0.000,0.000,0.000,
60,40.344,2.805,1.516,4.316,13377
120,57.641,2.996,2.520,5.516,21420
180,72.547,2.930,2.520,5.449,17766
240,89.516,2.973,4.527,7.500,14427
300,118.078,3.062,4.527,7.586,20832
360,175.172,3.051,4.527,7.578,18312
420,228.641,3.285,8.543,11.828,23769
480,287.078,3.000,8.543,11.547,16478
540,345.891,3.227,8.543,11.770,21472
600,408.109,3.148,8.543,11.691,19800
660,467.062,3.184,8.543,11.723,16808
720,534.844,3.156,8.543,11.699,22748
780,605.500,3.172,8.543,11.715,13992
840,676.375,3.090,16.574,19.660,16456
900,716.031,3.234,16.574,19.809,24860
960,745.375,3.137,16.574,19.707,17248
1020,783.234,3.293,16.574,19.863,21934
1081,831.781,3.168,16.574,19.742,15026
1140,884.766,3.254,16.574,19.824,20658
1200,937.312,3.125,16.574,19.699,13970
1260,977.297,3.184,16.574,19.758,20504
1320,1034.141,3.004,16.574,19.582,17402
1380,1079.141,3.168,16.574,19.738,16808
1440,1097.812,3.156,16.574,19.727,24024
1500,775.594,3.121,16.574,19.695,19096
1560,836.047,3.320,16.574,19.895,26708
1620,912.297,3.090,32.637,35.723,18480
1680,901.922,3.262,32.637,35.902,23606
1740,965.250,3.074,32.637,35.711,15180
1800,0.000,3.211,32.637,35.848,
