current_epoch,passes_total
686,683693
686,684015
686,684219
687,684597
687,684861
687,685158
688,685534
688,685905
688,686192
689,686446
689,686813
689,687008
690,687371
690,687736
690,687930
690,688259
691,688641
691,689001
691,689193
692,689574
692,689924
692,690102
693,690479
693,690840
693,691181
694,691392
694,691762
694,692054
694,692282
695,692638
695,692722
695,693098
696,693467
696,693829
696,694018
697,694358
697,694712
697,695088
697,695263
698,695632
698,695999
698,696180
699,696517
699,696893
699,697080
700,697439
700,697813
700,698100
701,698368
701,698701
701,698891
701,699271
702,699632
702,700008
702,700191
703,700521
703,700897
703,701086
704,701447
704,701792
704,702014
705,702373
705,702703
705,703059
705,703256
706,703619
706,703859
706,704168
707,704537
707,704865
707,705134
708,705421
708,705799
708,705987
709,706354
709,706723
709,707048
709,707239
710,707607
710,707970
710,708165
711,708542
711,708849
711,709075
712,709433
712,709801
712,710116
713,710354
713,710710
713,710904
713,711143
714,711498
714,711869
714,712065
715,712429
715,712789
715,712955
715,713324
716,713681
716,714046
716,714231
717,714592
717,714859
717,715113
718,715483
718,715841
718,716135
719,716393
719,716760
719,716959
719,717278
720,717649
720,718021
720,718207
721,718573
721,718937
721,719087
722,719458
722,719790
722,720032
722,720277
723,720641
723,720924
723,721160
724,721520
724,721882
724,722151
725,722433
725,722793
725,722982
726,723340
726,723667
726,723856
726,724226
727,724588
727,724946
727,725138
728,725466
728,725828
728,726020
729,726395
729,726758
729,727102
729,727311
730,727643
730,727897
730,728206
731,728575
731,728947
731,729186
732,729436
732,729750
732,729938
732,730301
733,730648
733,731001
733,731199
734,731521
734,731886
734,732068
735,732438
735,732790
735,732980
736,733333
736,733661
736,734026
736,734223
737,734596
737,734915
737,735153
738,735481
738,735841
738,736048
739,736408
739,736778
739,736989
739,737293
740,737664
740,737852
740,738218
741,738469
741,738832
741,739021
742,739363
742,739721
742,740103
743,740306
743,740673
743,740989
743,741242
744,741567
744,741805
744,742115
745,742487
745,742840
745,743068
746,743404
746,743727
746,743923
746,744281
747,744632
747,744987
747,745185
748,745535
748,745859
748,746049
749,746400
749,746678
749,746956
750,747321
750,747576
750,747781
750,748089
751,748445
751,748808
751,749065
752,749370
752,749727
752,749879
752,750248
753,750611
753,750967
753,751159
754,751525
754,751840
754,752028
755,752395
755,752751
755,753040
756,753297
756,753661
756,753928
756,754172
757,754521
757,754763
757,755084
758,755445
758,755801
758,755982
759,756314
759,756570
759,756756
759,757113
760,757481
760,757806
760,758005
761,758363
761,758715
761,759078
761,759279
762,759646
762,759920
762,760170
763,760540
763,760912
763,761099
764,761455
764,761813
764,761971
765,762318
765,762674
765,762859
765,763220
766,763591
766,763924
766,764125
767,764476
767,764807
767,765028
768,765380
768,765635
768,765887
768,766145
769,766501
769,766848
769,767110
770,767388
770,767721
770,767906
770,768249
771,768605
771,768962
771,769141
772,769496
772,769814
772,769997
773,770364
773,770709
773,770894
773,771242
774,771591
774,771899
774,772091
775,772442
775,772795
775,773013
776,773336
776,773680
776,773906
776,774175
777,774429
777,774631
777,774982
778,775322
778,775649
778,775834
778,776200
779,776536
779,776895
779,777076
780,777441
780,777759
780,777949
781,778297
781,778647
781,779002
781,779198
782,779507
782,779765
782,780035
783,780390
783,780739
783,780982
784,781295
784,781619
784,781802
784,782142
785,782482
785,782835
785,783024
785,783239
786,783593
786,783943
786,784126
787,784470
787,784793
787,785012
788,785337
788,785694
788,786032
788,786220
789,786575
789,786800
789,787077
790,787419
790,787755
790,788000
791,788288
791,788648
791,788828
791,789148
792,789495
792,789855
792,790039
793,790386
793,790730
793,790875
793,791218
794,791570
794,791907
794,792088
795,792435
795,792695
795,792932
796,793266
796,793605
796,793873
796,794121
797,794447
797,794730
797,795031
798,795256
798,795608
798,795786
798,796100
799,796446
799,796758
799,796969
800,797268
800,797611
800,797781
800,798108
801,798415
801,798736
801,798912
802,799242
802,799564
802,799871
802,800053
803,800355
803,800509
803,800741
803,801077
804,801399
804,801636
804,801856
804,802175
805,802486
805,802763
805,802990
806,803312
806,803610
806,803884
806,804096
807,804422
807,804751
807,804971
808,805238
808,805518
808,805693
808,805996
809,806311
809,806631
809,806788
809,807090
810,807409
810,807722
810,807946
810,808182
811,808507
811,808551
811,808872
811,809187
812,809508
812,809664
812,809971
813,810280
813,810567
813,810740
813,811039
814,811339
814,811646
814,811831
814,812089
815,812383
815,812687
815,812898
815,813172
816,813466
816,813774
816,813968
816,814210
817,814518
817,814674
817,814953
818,815239
818,815515
818,815676
818,815948
819,816235
819,816433
819,816585
819,816854
819,817148
820,817432
820,817737
820,817899
820,818181
821,818437
821,818677
821,818822
821,819091
822,819359
822,819634
822,819846
