elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,13.422,0.070,1.516,1.574,0
60,40.234,2.848,1.516,4.359,26499
120,54.891,2.945,2.520,5.465,27279
181,63.828,2.836,2.520,5.355,28875
240,77.422,2.957,4.527,7.488,26943
300,87.453,2.945,4.527,7.469,26061
360,102.844,3.031,4.527,7.555,39879
420,114.266,3.012,8.543,11.559,20937
480,151.656,3.164,8.543,11.703,18150
540,190.312,3.121,8.543,11.664,41382
600,220.109,3.207,8.543,11.746,37708
660,251.469,2.891,8.543,11.434,35926
720,280.500,3.238,8.543,11.781,33638
780,312.312,2.992,8.543,11.535,31548
840,352.641,2.961,8.543,11.500,28534
900,392.484,3.070,16.574,19.641,26796
960,432.594,3.039,16.574,19.617,26004
1020,480.594,3.344,16.574,19.918,24222
1080,546.141,3.551,16.574,20.125,43868
1140,618.172,3.914,16.574,20.488,41734
1200,698.953,4.125,16.574,20.699,39776
1260,771.125,4.082,16.574,20.656,37686
1320,852.078,4.594,16.574,21.168,36454
1380,934.984,5.117,16.574,21.691,49016
1440,1029.594,5.480,16.574,22.051,34870
1500,1108.781,6.117,16.574,22.691,46860
1560,1157.266,6.648,16.574,23.227,56804
1620,1214.922,7.094,16.574,23.672,49280
1680,1289.625,7.609,16.574,24.180,33506
1740,1349.422,8.617,32.637,41.258,53812
1800,1416.922,9.344,32.637,41.977,53240
1860,1468.969,10.062,32.637,42.699,50336
1920,1527.266,10.848,32.637,43.488,50006
1980,1590.875,11.680,32.637,44.316,49984
2041,1673.578,12.621,32.637,45.262,71654
2100,1778.578,13.680,32.637,46.316,75482
2160,1847.688,14.059,32.637,46.695,54450
2220,1919.078,15.297,32.637,47.938,72732
2280,1989.172,16.238,32.637,48.875,72952
2340,2055.297,17.137,32.637,49.770,73150
2400,2113.219,18.465,32.637,51.098,71764
2460,2175.828,19.355,32.637,51.992,70334
2520,2240.734,20.352,32.637,52.988,75218
2580,2302.703,21.961,32.637,54.598,96646
2640,2361.141,23.277,32.637,55.914,96822
2700,2416.875,24.551,32.637,57.191,97900
2760,2485.562,25.703,32.637,58.332,97460
2820,2552.312,27.082,32.637,59.723,97174
2880,2615.031,28.418,32.637,61.051,96624
2940,2692.750,29.848,32.637,62.477,97416
3000,2760.953,31.250,32.637,63.883,99044
3060,2826.703,32.938,32.637,65.578,120890
3120,2894.453,34.270,32.637,66.902,119504
3180,2992.250,35.691,32.637,68.328,120230
3240,3070.297,37.137,32.637,69.770,120648
3300,3147.516,38.480,32.637,71.117,120670
3360,3214.281,39.895,32.637,72.531,124476
3420,3308.328,41.496,32.637,74.137,134420
3480,3395.172,43.172,40.277,83.449,144804
3540,3474.469,44.762,48.777,93.535,143440
3600,3575.172,46.355,49.777,96.129,144408
3660,3648.812,47.766,50.777,98.539,144276
3720,3730.906,49.352,51.777,101.129,143990
3780,3816.422,50.934,51.777,102.703,144936
3840,3912.719,52.496,51.777,104.273,149468
3900,3998.703,54.324,51.777,106.105,155760
3960,4101.500,55.922,51.777,107.699,156882
4020,4200.156,57.801,51.777,109.570,171270
4080,4289.281,59.566,51.777,111.344,171930
4140,4377.906,61.055,51.777,112.832,172722
4200,4466.422,62.762,51.777,114.539,172040
4260,4544.547,64.457,51.777,116.238,170962
4320,4632.375,66.484,51.777,118.258,196812
4380,4714.922,68.141,51.777,119.918,196548
4440,4838.766,69.941,51.777,121.719,197098
4500,4937.406,71.512,51.777,123.285,198264
4560,5033.875,73.207,51.777,124.980,196900
4620,5127.750,74.848,51.777,126.625,198638
4680,5227.188,76.461,51.777,128.238,200607
4740,5317.016,78.348,51.777,130.125,205492
4800,5411.484,80.148,51.777,131.926,214278
4860,5501.641,81.898,51.777,133.676,212668
4920,5603.328,83.762,51.777,135.535,228722
4980,5692.484,85.414,51.777,137.191,229734
5040,5797.359,87.320,51.777,139.109,231988
5100,5869.328,89.055,51.777,140.832,233184
5160,5977.250,90.742,51.777,142.520,245558
5220,6067.406,92.637,51.777,144.422,243948
5280,6164.750,94.516,51.777,146.293,241648
5340,6281.344,96.488,52.277,148.762,249192
5400,6399.844,98.066,52.277,150.348,243373
5460,6507.594,100.344,52.277,152.625,262601
5520,6600.719,102.145,52.777,154.914,264441
5580,6720.125,103.945,55.777,159.723,265591
5640,6825.766,105.844,58.777,164.621,265016
5700,6929.359,107.934,60.777,168.707,266810
5760,7036.172,109.812,60.777,170.590,265522
5820,7155.922,111.707,60.777,172.488,280311
5880,7253.234,113.621,62.777,176.410,277873
5940,7361.250,115.375,62.777,178.156,269271
6000,7461.891,117.750,62.777,180.527,294410
6060,7567.953,119.648,62.777,182.426,293490
6120,7663.469,121.582,62.777,184.359,292800
6180,7776.438,123.484,62.777,186.277,295077
6240,7685.609,125.242,62.777,188.016,296365
6300,7785.516,127.285,62.777,190.062,297538
6360,7881.797,129.082,62.777,191.855,300045
6420,7980.000,131.195,62.777,193.973,296595
6481,7996.328,133.449,62.777,196.227,323528
6540,8105.906,135.355,62.777,198.125,322631
6600,8152.438,137.207,62.777,199.992,323298
6660,8096.875,139.051,62.777,201.820,321412
6720,8194.422,141.066,62.777,203.848,321803
6780,8296.766,142.945,62.777,205.719,322539
6840,8385.734,144.816,62.777,207.598,323022
6901,8474.250,146.684,69.027,215.719,322585
6960,8563.234,148.559,83.027,230.586,324356
7020,8585.562,150.645,90.027,240.676,321113
7080,8475.672,152.902,97.027,249.926,348391
7140,8561.734,154.844,99.027,253.871,346528
7200,8566.078,156.461,99.027,255.488,328197
7260,8585.297,158.863,99.027,257.895,346551
7320,8569.547,160.809,102.027,262.840,346045
7380,8634.141,162.844,103.027,265.863,345654
7440,8508.797,164.727,103.027,267.762,345033
7500,8584.469,166.754,103.027,269.781,345332
7560,8668.625,168.395,103.027,271.426,343469
7620,8688.188,170.352,103.027,273.387,348023
7680,8670.656,172.477,103.027,275.504,343860
7740,8620.391,174.457,103.027,277.488,343607
7800,8701.078,176.668,103.027,279.695,343239
7860,8671.016,178.688,103.027,281.715,367435
7920,8698.781,180.648,103.027,283.676,367504
7980,8712.562,182.430,103.027,285.457,364008
8040,8607.344,184.480,103.027,287.504,367067
8100,8710.594,186.438,103.027,289.469,366791
8160,8792.406,188.176,103.027,291.199,363663
8220,8887.203,190.336,103.027,293.355,363134
8280,8971.531,192.328,103.027,295.363,363272
8340,8864.438,194.258,103.027,297.277,363203
8400,8929.781,196.363,103.027,299.391,362490
8460,9029.219,198.352,103.027,301.379,360558
8520,9034.922,200.551,103.027,303.586,386985
8580,9144.422,202.398,103.027,305.434,376267
8640,9089.328,204.270,103.027,307.281,359362
8700,8847.609,206.578,103.027,309.609,384639
8760,8927.656,208.457,103.027,311.488,382500
8820,8999.766,210.469,103.027,313.484,381787
8880,9076.453,212.453,103.027,315.480,381994
8940,9187.719,214.242,103.027,317.270,381695
9000,9056.344,216.246,103.027,319.281,380108
9060,9019.531,218.156,103.027,321.188,377118
9120,9055.953,220.059,103.027,323.078,377118
9180,9103.547,222.102,103.027,325.129,378958
9241,9138.375,224.258,103.027,327.285,376888
9300,9222.953,226.508,105.027,331.543,401245
