elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,393,0,0,0,0,0,0,0,0,0,393,0,2,2,2,393,1,0,65,2,2,2,0,0,8,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7680,0
20,745,0,0,0,0,0,0,0,0,0,745,0,2,2,2,745,1,0,65,2,2,2,0,0,16,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14720,0
30,1155,0,0,0,0,0,0,0,0,0,1155,0,3,3,3,1155,2,0,1005,3,3,3,0,0,2,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,22920,0
40,1556,0,0,0,0,0,0,0,0,0,1556,0,3,3,3,1556,2,0,1005,3,3,3,0,0,12,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,31052,0
50,1954,0,0,0,0,0,0,0,0,0,1954,0,3,3,3,1954,2,0,1005,3,3,3,0,0,22,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,39410,0
60,2281,1000,1000,0,0,0,0,0,19820,1,2280,1,4,4,5,1281,2,1000,1158,4,4,4,2,2,6,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19820,1,46256,999.9447405703887
70,2660,1000,1000,0,0,0,0,0,19820,1,2659,1,4,4,5,1660,2,1000,1158,4,4,4,2,2,16,1,1000,1,1,1,0,5,0,5,1000,1,1000,1,19820,1,54215,999.9447405703887
80,2897,2000,2000,0,0,0,0,0,40355,2,2895,2,4,4,6,897,1,1000,783,4,4,4,3,3,26,1,2000,2,2,2,0,6,0,6,2000,2,2000,2,40355,2,59192,999.9447405703887
90,3279,2000,2000,0,0,0,0,0,40355,2,3277,2,5,5,7,1279,2,0,1076,5,5,5,3,3,4,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40355,2,67214,999.9447405703887
100,3652,2000,2000,0,0,0,0,0,40355,2,3650,2,5,5,7,1652,2,0,1076,5,5,5,3,3,14,1,2000,2,2,2,0,7,0,7,2000,2,2000,2,40355,2,75047,999.9447405703887
110,4035,2000,2000,0,0,0,0,0,40355,2,4033,2,5,5,8,1036,2,1000,1032,6,6,5,4,4,25,1,2000,2,2,2,1,8,1,8,2000,2,2000,2,40355,2,83111,999.9447405703887
120,4296,3000,3000,0,0,0,0,0,61355,3,4293,3,6,6,9,1296,2,0,1038,6,6,6,4,4,8,1,3000,3,3,3,1,9,1,9,3000,3,3000,3,61355,3,88613,999.9447405703887
130,4570,3000,3000,0,0,0,0,0,61355,3,4567,3,6,6,10,571,1,1000,565,6,6,6,5,5,18,1,3000,3,3,3,1,10,1,10,3000,3,3000,3,61355,3,94346,999.9447405703887
140,4953,4000,4000,0,0,0,0,0,82355,4,4949,4,6,6,10,953,1,1000,565,6,6,6,5,5,28,1,4000,4,4,4,1,10,1,10,4000,4,4000,4,82355,4,102368,999.9447405703887
150,5343,4000,4000,0,0,0,0,0,82355,4,5339,4,7,7,11,1343,2,0,1066,7,7,7,5,5,6,1,4000,4,4,4,1,11,1,11,4000,4,4000,4,82355,4,110558,999.9447405703887
160,5726,4000,4000,0,0,0,0,0,82355,4,5722,4,7,7,11,1726,2,0,1066,7,7,7,5,5,16,1,4000,4,4,4,1,11,1,11,4000,4,4000,4,82355,4,118601,999.9447405703887
170,5988,5000,5000,0,0,0,0,0,103355,5,5983,5,7,7,12,988,1,1000,794,7,7,7,6,6,26,1,5000,5,5,5,1,12,1,12,5000,5,5000,5,103355,5,124124,999.9447405703887
181,6372,5000,5000,0,0,0,0,0,103355,5,6367,5,8,8,13,1372,2,0,1002,8,8,8,6,6,8,1,5000,5,5,5,1,13,1,13,5000,5,5000,5,103355,5,132167,999.9447405703887
190,6719,5000,5000,0,0,0,0,0,103355,5,6714,5,8,8,13,1719,2,0,1002,8,8,8,6,6,18,1,5000,5,5,5,1,13,1,13,5000,5,5000,5,103355,5,139454,999.9447405703887
200,7026,5000,5000,0,0,0,0,0,103355,5,7021,5,9,9,15,1027,2,0,1027,9,9,9,7,7,0,1,5000,5,5,5,2,15,2,15,5000,5,5000,5,103355,5,145922,999.9447405703887
210,7336,6000,6000,0,0,0,0,0,124355,6,7330,6,9,9,15,1336,2,0,1027,9,9,9,7,7,10,1,6000,6,6,6,2,15,2,15,6000,6,6000,6,124355,6,152411,999.9447405703887
220,7590,6000,6000,0,0,0,0,0,124355,6,7584,6,9,9,16,591,1,1000,582,9,9,9,8,8,20,1,6000,6,6,6,2,16,2,16,6000,6,6000,6,124355,6,157766,999.9447405703887
230,7906,7000,7000,0,0,0,0,0,145355,7,7899,7,9,9,16,906,1,1000,582,9,9,9,8,8,30,1,7000,7,7,7,2,16,2,16,7000,7,7000,7,145355,7,164381,999.9447405703887
240,8282,7000,7000,0,0,0,0,0,145355,7,8275,7,10,10,17,1282,2,0,1032,10,10,10,8,8,6,1,7000,7,7,7,2,17,2,17,7000,7,7000,7,145355,7,172277,999.9447405703887
250,8667,7000,7000,0,0,0,0,0,145355,7,8660,7,10,10,17,1667,2,0,1032,10,10,10,8,8,16,1,7000,7,7,7,2,17,2,17,7000,7,7000,7,145355,7,180362,999.9447405703887
260,8896,8000,8000,0,0,0,0,0,166355,8,8888,8,10,10,18,896,1,1000,812,10,10,10,9,9,26,1,8000,8,8,8,2,18,2,18,8000,8,8000,8,166355,8,185192,999.9447405703887
270,9274,8000,8000,0,0,0,0,0,166355,8,9266,8,11,11,19,1274,2,0,1072,11,11,11,9,9,4,1,8000,8,8,8,2,19,2,19,8000,8,8000,8,166355,8,193109,999.9447405703887
280,9624,8000,8000,0,0,0,0,0,166355,8,9616,8,11,11,19,1624,2,0,1072,11,11,11,9,9,14,1,8000,8,8,8,2,19,2,19,8000,8,8000,8,166355,8,200459,999.9447405703887
290,10003,8000,8000,0,0,0,0,0,166355,8,9995,8,11,11,19,2003,3,0,1072,11,12,11,9,9,24,1,8000,8,8,8,2,19,2,19,8000,8,8000,8,166355,8,208418,999.9447405703887
300,10239,9000,9000,0,0,0,0,0,187355,9,10230,9,12,12,21,1239,2,0,1008,12,12,12,10,10,8,1,9000,9,9,9,3,21,3,21,9000,9,9000,9,187355,9,213374,999.9447405703887
310,10361,10000,10000,0,0,0,0,0,208355,10,10351,10,12,12,22,361,1,1000,342,12,12,12,11,11,18,1,10000,10,10,10,3,22,3,22,10000,10,10000,10,208355,10,215936,999.9447405703887
320,10737,10000,10000,0,0,0,0,0,208355,10,10727,10,12,12,22,737,1,1000,342,12,12,12,11,11,28,1,10000,10,10,10,3,22,3,22,10000,10,10000,10,208355,10,223832,999.9447405703887
330,11077,10000,10000,0,0,0,0,0,208355,10,11067,10,13,13,23,1077,2,0,1065,13,13,13,11,11,0,1,10000,10,10,10,3,23,3,23,10000,10,10000,10,208355,10,230972,999.9447405703887
340,11449,10000,10000,0,0,0,0,0,208355,10,11439,10,13,13,23,1449,2,0,1065,13,13,13,11,11,10,1,10000,10,10,10,3,23,3,23,10000,10,10000,10,208355,10,238784,999.9447405703887
350,11832,10000,10000,0,0,0,0,0,208355,10,11822,10,13,13,23,1832,2,0,1065,13,13,13,11,11,20,1,10000,10,10,10,3,23,3,23,10000,10,10000,10,208355,10,246827,999.9447405703887
360,12170,10000,10000,0,0,0,0,0,208355,10,12160,10,14,14,25,1171,2,1000,1170,14,14,14,12,12,4,1,10000,10,10,10,3,25,3,25,10000,10,10000,10,208355,10,253946,0
370,12460,11000,11000,0,0,0,0,0,229355,11,12449,11,14,14,25,1460,2,1000,1170,14,14,14,12,12,14,1,11000,11,11,11,3,25,3,25,11000,11,11000,11,229355,11,260015,999.9447405703887
380,12762,11000,11000,0,0,0,0,0,229355,11,12751,11,14,14,26,763,1,1000,756,14,14,14,13,13,24,1,11000,11,11,11,3,26,3,26,11000,11,11000,11,229355,11,266378,999.9447405703887
390,13018,12000,12000,0,0,0,0,0,250355,12,13006,12,15,15,27,1018,2,0,1005,15,15,15,13,13,0,1,12000,12,12,12,3,27,3,27,12000,12,12000,12,250355,12,271754,999.9447405703887
400,13398,12000,12000,0,0,0,0,0,250355,12,13386,12,15,15,27,1398,2,0,1005,15,15,15,13,13,10,1,12000,12,12,12,3,27,3,27,12000,12,12000,12,250355,12,279734,999.9447405703887
410,13776,12000,12000,0,0,0,0,0,250355,12,13764,12,15,15,27,1776,2,0,1005,15,15,15,13,13,20,1,12000,12,12,12,3,27,3,27,12000,12,12000,12,250355,12,287672,999.9447405703887
420,13993,13000,13000,0,0,0,0,0,271355,13,13980,13,15,15,28,993,1,1000,967,15,15,15,14,14,30,1,13000,13,13,13,3,28,3,28,13000,13,13000,13,271355,13,292229,999.9447405703887
430,14323,13000,13000,0,0,0,0,0,271355,13,14310,13,16,16,29,1323,2,0,1109,16,16,16,14,14,4,1,13000,13,13,13,3,29,3,29,13000,13,13000,13,271355,13,299138,999.9447405703887
440,14526,14000,14000,0,0,0,0,0,292355,14,14512,14,16,16,30,526,1,1000,497,16,16,16,15,15,16,1,14000,14,14,14,3,30,3,30,14000,14,14000,14,292355,14,303401,999.9447405703887
450,14898,14000,14000,0,0,0,0,0,292355,14,14884,14,16,16,30,898,1,1000,497,16,16,16,15,15,26,1,14000,14,14,14,3,30,3,30,14000,14,14000,14,292355,14,311463,999.9447405703887
460,15274,14000,14000,0,0,0,0,0,292355,14,15260,14,17,17,31,1274,2,0,1030,17,17,17,15,15,6,1,14000,14,14,14,3,31,3,31,14000,14,14000,14,292355,14,319757,999.9447405703887
470,15611,14000,14000,0,0,0,0,0,292355,14,15597,14,17,17,31,1612,2,0,1030,17,17,17,15,15,14,1,14000,14,14,14,3,31,3,31,14000,14,14000,14,292355,14,327171,999.9447405703887
480,15823,15000,15000,0,0,0,0,0,313707,15,15808,15,17,17,32,823,1,1000,712,17,17,17,16,16,26,1,15000,15,15,15,3,32,3,32,15000,15,15000,15,313707,15,331835,999.9447405703887
490,16201,15000,15000,0,0,0,0,0,313707,15,16186,15,18,18,33,1202,2,0,1041,18,18,18,16,16,4,1,15000,15,15,15,3,33,3,33,15000,15,15000,15,313707,15,340173,999.9447405703887
500,16579,15000,15000,0,0,0,0,0,313707,15,16564,15,18,18,33,1579,2,0,1041,18,18,18,16,16,14,1,15000,15,15,15,3,33,3,33,15000,15,15000,15,313707,15,348445,999.9447405703887
