current_epoch,passes_total
460,458052
460,458257
460,458603
461,458995
461,459382
461,459595
462,459981
462,460279
462,460591
463,460954
463,461156
463,461544
464,461940
464,462326
464,462526
465,462879
465,463271
465,463473
466,463871
466,464213
466,464460
467,464816
467,465212
467,465563
468,465811
468,466200
468,466415
469,466807
469,467159
469,467360
470,467637
470,468027
470,468424
471,468632
471,468986
471,469318
471,469588
472,469979
472,470206
472,470578
473,470973
473,471330
473,471534
474,471929
474,472322
474,472537
475,472930
475,473283
475,473489
476,473873
476,474166
476,474466
477,474858
477,475252
477,475532
478,475808
478,476202
478,476411
479,476808
479,477199
479,477286
480,477638
480,478029
480,478411
481,478626
481,479021
481,479265
481,479577
482,479977
482,480186
482,480580
483,480975
483,481366
483,481573
484,481928
484,482312
484,482524
485,482916
485,483234
485,483527
486,483891
486,484110
486,484487
487,484883
487,485275
487,485479
488,485874
488,486225
488,486437
489,486830
489,486996
489,487334
490,487729
490,488132
490,488379
491,488681
491,489080
491,489279
492,489669
492,490058
492,490404
493,490608
493,491004
493,491311
494,491601
494,491999
494,492275
494,492560
495,492953
495,493160
495,493560
496,493957
496,494352
496,494512
497,494903
497,495288
497,495492
498,495887
498,496193
498,496485
499,496725
499,497124
499,497335
500,497722
500,498120
500,498327
501,498721
501,499071
501,499292
502,499686
502,500074
502,500454
503,500679
503,501027
503,501299
504,501633
504,502030
504,502238
505,502633
505,503025
505,503330
506,503584
506,503973
506,504367
506,504574
507,504961
507,505244
507,505536
508,505918
508,506150
508,506400
509,506793
509,507190
509,507349
510,507738
510,508115
510,508343
511,508733
511,509122
511,509490
512,509681
512,510069
512,510339
513,510676
513,511064
513,511272
514,511660
514,512013
514,512308
515,512612
515,513002
515,513390
516,513602
516,513941
516,514288
516,514529
517,514922
517,515137
517,515514
518,515903
518,516146
518,516352
519,516738
519,517121
519,517327
520,517729
520,518040
520,518289
521,518670
521,519065
521,519412
522,519652
522,520035
522,520244
523,520598
523,520987
523,521196
524,521582
524,521967
524,522322
524,522527
525,522912
525,523309
525,523510
526,523894
526,524198
526,524452
527,524847
527,525234
527,525442
528,525715
528,526105
528,526269
529,526664
529,527051
529,527251
530,527651
530,528035
530,528431
531,528639
531,528987
531,529196
532,529590
532,529980
532,530179
533,530569
533,530925
533,531243
533,531519
534,531911
534,532304
534,532505
535,532891
535,533244
535,533449
536,533840
536,534100
536,534426
537,534812
537,535159
537,535249
538,535636
538,536024
538,536229
539,536608
539,537007
539,537359
540,537557
540,537946
540,538320
540,538540
541,538928
541,539189
541,539478
542,539863
542,540070
542,540456
543,540849
543,541237
543,541410
544,541792
544,542180
544,542373
545,542766
545,543100
545,543353
546,543709
546,544108
546,544477
547,544703
547,544966
547,545177
548,545557
548,545909
548,546108
548,546502
549,546892
549,547278
549,547476
550,547823
550,548018
550,548401
551,548798
551,549083
551,549392
552,549786
552,550132
552,550445
553,550717
553,551109
553,551312
554,551685
554,552062
554,552237
555,552617
555,552997
555,553197
556,553581
556,553966
556,554348
556,554400
557,554780
557,555076
557,555380
558,555773
558,556164
558,556417
559,556715
559,557111
559,557318
560,557716
560,558110
560,558271
561,558660
561,559052
561,559248
562,559641
562,560039
562,560370
563,560620
563,560966
563,561198
564,561552
564,561939
564,562135
565,562529
565,562886
565,563271
565,563479
566,563867
566,564033
566,564333
567,564718
567,565074
567,565397
568,565662
568,566055
568,566263
569,566660
569,567040
569,567198
570,567586
570,567979
570,568369
571,568572
571,568958
571,569282
572,569513
572,569896
572,570137
572,570501
573,570882
573,571256
573,571430
574,571819
574,572203
574,572398
575,572777
575,573151
575,573372
576,573600
576,573986
576,574297
577,574574
577,574971
577,575197
578,575518
578,575917
578,576116
578,576497
579,576891
579,577277
579,577475
580,577815
580,578026
580,578416
581,578806
581,579092
581,579381
582,579771
582,580118
582,580410
583,580712
583,581097
583,581289
584,581679
584,582063
584,582228
585,582619
585,583003
585,583109
585,583468
586,583858
586,584080
586,584414
587,584801
587,585196
587,585427
588,585789
588,585987
588,586333
589,586721
589,587104
589,587312
590,587689
590,587969
590,588275
591,588619
591,589002
591,589322
592,589593
592,589990
592,590196
593,590585
593,590942
593,591138
594,591531
594,591919
594,592298
595,592496
595,592768
595,592991
595,593306
596,593697
596,594085
596,594355
597,594668
597,595019
597,595208
598,595602
598,595999
598,596196
599,596578
599,596962
599,597301
600,597509
600,597904
600,598221
600,598475
601,598865
601,599073
601,599415
602,599800
602,600188
602,600394
603,600781
603,601158
603,601356
604,601692
604,602061
604,602278
605,602644
605,603026
605,603394
606,603601
606,603937
606,604134
607,604523
607,604914
607,605108
608,605500
608,605890
608,606238
608,606441
609,606810
609,607181
609,607378
610,607753
610,608054
610,608293
611,608671
611,609065
611,609349
612,609636
612,610028
612,610230
613,610576
613,610967
613,611166
614,611543
614,611813
614,612167
614,612354
615,612729
615,613009
615,613322
616,613710
616,614091
616,614333
617,614649
617,615030
617,615223
618,615595
618,615978
618,616177
619,616556
619,616887
619,617265
620,617470
620,617850
620,618142
620,618431
621,618806
621,618987
621,619357
622,619740
622,620122
622,620316
623,620686
623,621053
623,621108
624,621477
624,621866
624,622252
624,622443
625,622840
625,623178
625,623378
626,623761
626,623973
626,624340
627,624717
627,625103
627,625301
628,625644
628,626033
628,626234
629,626610
629,626970
629,627194
630,627539
630,627929
630,628309
631,628518
631,628890
631,629151
632,629472
632,629824
632,630014
632,630389
633,630657
633,631041
633,631236
634,631623
634,631954
634,632162
635,632547
635,632930
635,633275
636,633515
636,633898
636,634106
637,634449
637,634825
637,635014
637,635411
638,635787
638,636170
638,636334
639,636719
639,637095
639,637282
640,637653
640,637891
640,638228
641,638579
641,638968
641,639254
642,639553
642,639942
642,640033
642,640359
643,640739
643,641124
643,641326
644,641708
644,642044
644,642272
645,642611
645,642978
645,643326
646,643551
646,643920
646,644181
647,644524
647,644864
647,645062
648,645439
648,645804
648,646184
648,646386
649,646727
649,647093
649,647291
650,647679
650,647971
650,648247
651,648637
651,648983
651,649295
652,649535
652,649914
652,650110
653,650495
653,650871
653,651035
653,651421
654,651800
654,652178
654,652368
655,652741
655,653013
655,653291
656,653663
656,654039
656,654330
657,654623
657,655010
657,655169
658,655550
658,655918
658,656099
659,656487
659,656862
659,657245
659,657399
660,657773
660,658034
660,658348
661,658735
661,658915
661,659188
662,659518
662,659902
662,660104
663,660481
663,660852
663,661045
663,661415
664,661765
664,662151
664,662350
665,662724
665,662996
665,663294
666,663635
666,664011
666,664284
667,664576
667,664946
667,665142
668,665503
668,665820
668,666011
668,666365
669,666731
669,667115
669,667317
670,667694
670,668023
670,668097
671,668486
671,668861
671,669138
672,669440
672,669824
672,669969
672,670352
673,670735
673,671123
673,671323
674,671698
674,672042
674,672230
675,672598
675,672899
675,673172
676,673551
676,673940
676,674204
677,674467
677,674845
677,675035
678,675413
678,675789
678,676002
678,676381
679,676715
679,677090
679,677291
680,677549
680,677919
680,678280
681,678458
681,678832
681,679076
681,679401
682,679781
682,679975
682,680344
683,680671
683,681048
683,681251
684,681626
684,682010
684,682213
685,682586
685,682929
685,683179
686,683502
686,683876
686,684151
687,684447
687,684826
687,684986
687,685362
688,685735
688,686110
688,686304
689,686683
689,686892
689,687120
690,687497
690,687870
690,688221
691,688433
691,688805
691,689036
691,689341
692,689727
692,689920
692,690290
693,690674
693,691042
693,691205
694,691580
694,691927
694,692145
695,692526
695,692904
695,693240
696,693446
696,693823
696,694049
696,694378
697,694752
697,694945
697,695280
698,695658
698,696027
698,696115
699,696473
699,696854
699,697224
699,697381
700,697760
700,698059
700,698326
701,698718
701,698898
701,699272
702,699617
702,699989
702,700189
703,700567
703,700935
703,701137
704,701520
704,701803
704,702047
705,702417
705,702794
705,703088
705,703375
706,703764
706,703910
706,704277
707,704644
707,705014
707,705205
708,705462
708,705831
708,706155
708,706338
709,706714
709,707050
709,707279
710,707649
710,707865
710,708173
711,708540
711,708923
711,709148
712,709488
712,709866
712,710017
713,710394
713,710766
713,710965
713,711355
714,711719
714,712079
714,712252
715,712631
715,712892
715,713212
716,713594
716,713959
716,714211
717,714483
717,714745
717,714934
717,715301
718,715672
718,716038
718,716237
719,716571
719,716884
719,717133
720,717509
720,717885
720,718176
721,718451
721,718793
721,718988
722,719363
722,719726
722,719925
722,720289
723,720669
723,721002
723,721190
724,721561
724,721854
724,722114
725,722484
725,722856
725,723118
726,723381
726,723764
726,723847
726,724232
727,724588
727,724959
727,725119
728,725485
728,725799
728,726058
729,726439
729,726807
729,727106
729,727352
730,727715
730,727911
730,728292
731,728656
731,729033
731,729198
732,729553
732,729932
732,730128
733,730497
733,730857
733,731052
734,731395
734,731770
734,732116
734,732338
735,732705
735,732919
735,733178
736,733516
736,733881
736,734066
737,734449
737,734813
737,735179
738,735366
738,735701
738,736061
738,736268
739,736634
739,736864
739,737194
740,737571
740,737897
740,738149
741,738473
741,738846
741,739039
742,739411
742,739746
742,740107
742,740305
743,740669
743,741031
743,741220
744,741597
744,741862
744,742136
745,742405
745,742776
745,742969
746,743339
746,743703
746,744035
746,744223
747,744601
747,744969
747,745169
748,745544
748,745840
748,746075
749,746448
749,746805
749,747088
750,747353
750,747720
750,747879
750,748254
751,748629
751,749000
751,749190
752,749567
752,749933
752,750082
753,750442
753,750741
753,750990
754,751369
754,751617
754,751853
754,752144
755,752505
755,752871
755,753146
756,753431
756,753798
756,754002
756,754325
757,754700
757,755064
757,755250
758,755608
758,755969
758,756128
759,756485
759,756850
759,757067
760,757422
760,757799
760,758071
761,758326
761,758693
761,758887
761,759259
762,759624
762,760000
762,760194
763,760529
763,760783
763,760972
764,761343
764,761711
764,762080
764,762243
765,762606
765,762845
765,763158
766,763526
766,763897
766,764105
767,764416
767,764790
767,764978
768,765349
768,765713
768,766081
768,766280
769,766613
769,766982
769,767170
770,767536
770,767806
770,768098
771,768471
771,768801
771,769092
772,769353
772,769714
772,769789
772,770151
773,770482
773,770841
773,771032
774,771400
774,771766
774,772123
775,772318
775,772684
775,772990
775,773192
776,773545
776,773804
776,774081
777,774445
777,774782
777,775081
777,775268
778,775608
778,775860
778,776130
779,776487
779,776827
779,777104
780,777312
780,777640
780,777902
780,778154
781,778521
781,778664
781,778915
781,779292
782,779662
782,779881
782,780213
783,780579
783,780947
783,781152
784,781447
784,781808
784,781994
785,782360
785,782722
785,782918
785,783284
786,783596
786,783958
786,784140
787,784496
787,784847
787,785036
788,785396
788,785721
788,785908
788,786266
789,786615
789,786971
789,787137
790,787463
790,787701
790,787905
790,788260
791,788615
791,788970
791,789138
792,789453
792,789796
792,789984
793,790327
793,790663
793,791011
793,791197
794,791546
794,791846
794,792037
795,792374
795,792724
795,793064
795,793246
796,793547
796,793860
796,794061
797,794413
797,794775
797,795116
798,795306
798,795656
798,795900
798,796164
799,796416
799,796782
799,797032
800,797328
800,797689
800,797889
800,798218
801,798575
801,798941
801,799179
802,799474
802,799826
802,800020
803,800376
803,800697
803,800892
803,801250
804,801605
804,801943
804,802131
805,802480
805,802824
805,802979
806,803340
806,803681
806,803869
806,804227
807,804579
807,804926
807,805071
808,805325
808,805667
808,806007
808,806182
809,806530
809,806839
809,807020
810,807374
810,807711
810,807889
810,808233
811,808587
811,808905
811,809088
812,809449
812,809809
812,809995
813,810355
813,810705
813,811078
813,811222
814,811591
814,811946
814,812120
815,812472
815,812805
815,813035
816,813404
816,813723
816,814071
817,814270
817,814639
817,814889
817,815185
818,815541
818,815825
818,816061
819,816413
819,816780
819,816969
820,817324
820,817678
820,817858
820,818220
821,818558
821,818918
821,819099
822,819468
822,819795
822,820036
823,820400
823,820751
823,821064
824,821272
824,821647
824,821886
824,822211
825,822572
825,822892
825,823119
826,823371
826,823688
826,823873
826,824239
827,824602
827,824966
827,825159
828,825505
828,825765
828,826008
829,826363
829,826722
829,827036
830,827280
830,827637
830,827820
830,828180
831,828505
831,828859
831,829047
832,829403
832,829752
832,829939
833,830299
833,830683
833,831002
833,831198
834,831559
834,831827
834,832103
835,832359
835,832719
835,832938
835,833191
836,833556
836,833744
836,834111
837,834460
837,834811
837,835020
838,835377
838,835697
838,835878
838,836233
839,836595
839,836958
839,837146
840,837505
840,837803
840,838013
841,838369
841,838717
841,839028
842,839269
842,839597
842,839790
842,840146
843,840509
843,840856
843,841039
844,841296
844,841617
844,841987
844,842174
845,842525
845,842849
845,843083
846,843432
846,843796
846,843929
847,844282
847,844630
847,844864
847,845167
848,845522
848,845712
848,846079
849,846405
849,846769
849,846969
850,847319
850,847681
850,847865
850,848221
851,848580
851,848909
851,849094
852,849450
852,849778
852,850005
853,850262
853,850614
853,850872
853,851122
854,851480
854,851668
854,852029
855,852390
855,852745
855,852930
856,853246
856,853597
856,853775
856,854149
857,854518
857,854870
857,855063
858,855423
858,855737
858,855921
859,856274
859,856638
859,856983
859,857168
860,857509
860,857729
860,858003
861,858372
861,858716
861,858972
861,859198
862,859560
862,859924
862,860112
863,860447
863,860795
863,860985
864,861343
864,861697
864,862052
865,862247
865,862598
865,862823
865,863093
866,863448
866,863797
866,864037
867,864336
867,864693
867,864865
867,865204
868,865581
868,865938
868,866118
869,866474
869,866825
869,866989
870,867340
870,867680
870,867868
870,868115
871,868468
871,868742
871,869015
872,869341
872,869706
872,870004
873,870257
873,870611
873,870800
873,871156
874,871519
874,871826
874,872021
875,872361
875,872722
875,872905
876,873260
876,873622
876,873985
876,874135
877,874502
877,874859
877,875047
878,875405
878,875658
878,875948
879,876282
879,876632
879,876846
879,877082
880,877423
880,877785
880,877972
881,878334
881,878642
881,878846
882,879208
882,879561
882,879918
882,880102
883,880456
883,880736
883,880975
884,881319
884,881671
884,881992
885,882210
885,882565
885,882785
885,883108
886,883427
886,883775
886,884014
887,884304
887,884664
887,884848
887,885187
888,885494
888,885852
888,886023
889,886383
889,886739
889,886932
890,887287
890,887651
890,887798
890,888152
891,888495
891,888837
891,889024
892,889385
892,889663
892,889931
893,890255
893,890613
893,890944
893,891174
894,891532
894,891744
894,892095
895,892408
895,892751
895,892990
896,893295
896,893653
896,893844
897,894198
897,894545
897,894872
897,894933
898,895276
898,895627
898,895808
898,896165
899,896513
899,896865
899,897034
900,897389
900,897653
900,897919
901,898288
901,898650
901,898916
901,899168
902,899494
902,899697
902,900039
903,900371
903,900728
903,900930
904,901271
904,901637
904,901773
904,902144
905,902486
905,902845
905,903021
906,903372
906,903734
