elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
10800,6862.469,283.672,110.598,394.258,350507
10860,6862.828,285.773,110.598,396.367,347540
10920,6863.266,287.754,110.598,398.344,346804
10980,6865.672,289.691,110.598,400.293,347287
11040,6868.219,291.844,110.598,402.430,346804
11100,6878.797,293.770,114.598,408.375,346137
11160,6899.266,295.645,118.598,414.199,343814
11220,6907.766,297.797,118.598,416.387,343331
11280,6908.203,299.676,118.598,418.285,346827
11340,6912.641,301.902,126.598,428.488,341698
11400,6915.094,304.031,126.598,430.637,354141
11460,6915.641,306.074,126.598,432.676,341514
11520,6916.062,308.164,126.598,434.766,352899
11580,6914.422,310.168,126.598,436.770,340824
11640,6921.641,312.367,126.598,438.965,340548
11700,6925.406,314.719,126.598,441.305,367481
11760,6923.844,316.676,126.598,443.270,364008
11820,6924.219,318.719,126.598,445.312,363456
11880,6924.625,320.816,126.598,447.414,363019
11940,6923.141,322.844,126.598,449.438,362720
12000,6927.547,324.945,126.598,451.535,362007
12060,6944.781,326.988,126.598,453.590,358833
12120,6951.594,329.055,126.598,455.645,358419
12180,6956.094,331.215,126.598,457.824,358511
12240,6956.469,333.145,126.598,459.734,358327
12300,6955.000,335.074,126.598,461.672,358166
12360,6955.344,337.184,126.598,463.777,354578
12420,6955.797,339.133,126.598,465.727,354923
12480,6958.203,341.277,126.598,467.867,354463
12540,6956.641,343.254,126.598,469.852,354210
12600,6959.078,345.254,126.598,471.867,354900
12660,6959.500,347.570,126.598,474.168,378291
12720,6958.047,349.145,126.598,475.754,350783
12780,6960.938,351.660,126.598,478.258,377256
12840,6961.516,353.520,126.598,480.070,350530
12900,6968.203,355.648,126.598,482.254,355866
12960,6974.797,357.973,126.598,484.555,375761
13020,6988.266,359.762,126.598,486.359,367044
13080,7002.266,362.020,126.598,488.602,374611
13140,7054.469,364.051,126.598,490.641,374841
13200,7057.172,366.215,126.598,492.820,375048
13260,7059.812,368.094,126.598,494.688,372656
13320,7059.984,370.273,126.598,496.852,372587
13380,7067.375,372.367,126.598,498.957,372173
13440,7068.016,374.383,126.598,500.977,371575
13500,7068.625,376.402,126.598,503.000,371023
13561,7065.922,378.297,126.598,504.887,369229
13620,7092.750,380.379,132.598,512.961,369390
13680,7111.734,382.504,142.582,525.102,370517
13740,7125.281,384.469,142.582,527.062,378406
13800,7170.516,386.457,167.645,554.102,370655
13860,7170.984,388.445,169.645,558.090,382178
13920,7218.266,390.785,189.629,580.387,396300
13980,7228.984,392.734,205.629,598.344,398048
14040,7235.531,394.332,205.629,599.969,374059
14100,7238.141,396.828,213.613,610.465,400969
14160,7234.578,398.773,213.613,612.395,399543
14220,7239.219,400.895,213.613,614.516,400233
14280,7241.797,402.871,213.613,616.465,400486
14340,7240.266,404.926,213.613,618.527,399842
