elapsed_secs,render_class,identity_lhs,identity_rhs,identity_holds
10,CONSISTENT,0,376,0
20,TORN,0,770,
30,CONSISTENT,1000,1132,0
40,CONSISTENT,1000,1542,0
50,CONSISTENT,0,929,0
60,CONSISTENT,1000,1331,0
70,TORN,1000,1728,
80,CONSISTENT,2000,2090,0
90,CONSISTENT,1000,1359,0
100,CONSISTENT,0,714,0
110,CONSISTENT,0,964,0
120,TORN,1000,1351,
130,CONSISTENT,1000,1743,0
140,CONSISTENT,1000,1008,0
150,CONSISTENT,1000,1355,0
160,CONSISTENT,1000,1751,0
170,CONSISTENT,1000,1128,0
180,CONSISTENT,1000,1408,0
190,CONSISTENT,0,676,0
200,CONSISTENT,1000,1028,0
210,TORN,1000,1435,
220,CONSISTENT,1000,1827,0
230,CONSISTENT,1000,1105,0
240,CONSISTENT,1000,1460,0
250,CONSISTENT,1000,1861,0
260,CONSISTENT,1000,1138,0
270,CONSISTENT,1000,1513,0
280,CONSISTENT,0,716,0
290,CONSISTENT,1000,1101,0
300,CONSISTENT,1000,1473,0
310,CONSISTENT,0,714,0
320,CONSISTENT,0,989,0
330,TORN,1000,1377,
340,CONSISTENT,1000,1754,0
350,TORN,0,967,
360,CONSISTENT,1000,1355,0
370,CONSISTENT,1000,1734,0
380,CONSISTENT,1000,1035,0
390,TORN,1000,1326,
400,CONSISTENT,0,686,0
410,CONSISTENT,0,909,0
420,CONSISTENT,1000,1287,0
430,CONSISTENT,1000,1617,0
440,CONSISTENT,0,892,0
450,CONSISTENT,1000,1210,0
460,CONSISTENT,1000,1541,0
470,CONSISTENT,1000,1918,0
480,CONSISTENT,1000,1121,0
490,CONSISTENT,1000,1502,0
500,CONSISTENT,0,679,0
510,CONSISTENT,1000,1030,0
520,CONSISTENT,1000,1411,0
530,CONSISTENT,0,746,0
540,CONSISTENT,0,944,0
550,CONSISTENT,1000,1322,0
560,CONSISTENT,1000,1695,0
570,CONSISTENT,0,917,0
580,CONSISTENT,1000,1255,0
590,CONSISTENT,1000,1636,0
600,CONSISTENT,2000,2004,0
610,CONSISTENT,1000,1111,0
620,CONSISTENT,0,430,0
630,CONSISTENT,0,640,0
640,CONSISTENT,1000,1027,0
650,CONSISTENT,1000,1365,0
660,CONSISTENT,0,708,0
670,CONSISTENT,1000,1001,0
680,TORN,1000,1404,
690,CONSISTENT,0,681,0
700,CONSISTENT,1000,1006,0
710,CONSISTENT,1000,1402,0
720,CONSISTENT,0,782,0
730,CONSISTENT,1000,1031,0
740,CONSISTENT,1000,1382,0
750,TORN,1000,1770,
760,TORN,1000,1007,
771,CONSISTENT,1000,1399,0
780,TORN,1000,1751,
790,CONSISTENT,1000,1015,0
800,CONSISTENT,1000,1347,0
810,CONSISTENT,0,666,0
820,CONSISTENT,0,912,0
830,CONSISTENT,1000,1303,0
840,CONSISTENT,1000,1691,0
851,CONSISTENT,0,908,0
860,CONSISTENT,1000,1265,0
870,CONSISTENT,1000,1654,0
880,CONSISTENT,0,953,0
890,CONSISTENT,1000,1219,0
900,CONSISTENT,1000,1541,0
910,TORN,1000,1804,
920,CONSISTENT,0,990,0
930,CONSISTENT,1000,1326,0
940,CONSISTENT,1000,1695,0
950,CONSISTENT,1000,1069,0
960,CONSISTENT,1000,1281,0
970,CONSISTENT,1000,1614,0
