elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,3.016,0.000,0.000,0.000,
60,43.453,3.152,1.516,4.668,27192
120,64.469,2.754,2.520,5.270,28665
180,83.688,2.996,2.520,5.516,29463
240,117.438,2.926,4.527,7.449,31059
300,159.812,2.871,4.527,7.398,30933
360,206.672,3.055,4.527,7.582,28203
420,259.219,2.816,8.543,11.359,26481
480,317.250,2.949,8.543,11.496,24530
540,377.125,2.988,8.543,11.531,21098
600,433.969,3.074,8.543,11.617,44088
660,246.250,3.148,8.543,11.699,27720
720,332.203,3.117,8.543,11.660,36696
780,395.578,3.023,8.543,11.566,39204
840,479.953,3.281,16.574,19.863,37400
900,557.047,2.949,16.574,19.527,34738
960,617.109,3.238,16.574,19.816,30206
1020,641.453,3.383,16.574,19.957,26466
1080,633.875,3.629,16.574,20.207,24750
1140,616.734,3.730,16.574,20.305,23672
1200,629.516,4.055,16.574,20.629,40590
1260,692.609,4.098,16.574,20.672,22484
1320,803.844,4.301,16.574,20.879,23188
1380,855.766,5.180,16.574,21.754,44528
1440,891.469,5.418,16.574,21.992,44132
1500,970.109,5.953,16.574,22.527,44638
1560,1059.547,6.418,16.574,22.992,41954
1620,1127.703,6.852,16.574,23.422,47014
1680,1204.781,7.516,16.574,24.098,48686
1740,1300.000,8.180,32.637,40.812,52976
1800,1428.734,8.941,32.637,41.582,52646
1860,1546.312,9.473,32.637,42.109,48884
1920,1693.672,10.387,32.637,43.027,53196
1980,1795.594,11.355,32.637,44.004,62810
2040,1880.953,12.285,32.637,44.926,65868
2100,2015.875,13.375,32.637,46.016,76780
2160,1376.594,14.078,32.637,46.715,74008
2220,1424.547,15.184,32.637,47.816,75174
2280,1503.953,16.215,32.637,48.840,75922
2340,1591.500,17.297,32.637,49.934,77066
2400,1685.203,18.344,32.637,50.980,76406
2460,1762.062,19.270,32.637,51.930,76406
2520,1675.406,20.551,32.637,53.191,88396
2580,1680.938,21.762,32.637,54.398,96866
2640,1723.391,22.977,32.637,55.609,97042
2700,1552.562,24.145,32.637,56.777,95810
2760,1537.406,25.242,32.637,57.887,92686
2820,1579.578,26.582,32.637,59.219,92532
2880,1597.094,27.781,32.637,60.414,93258
2940,1636.266,29.348,32.637,61.984,94952
3000,1700.094,30.824,32.637,63.461,95084
3060,1805.781,32.535,32.637,65.172,114334
3120,1883.672,33.984,32.637,66.621,109340
3180,1979.562,35.496,32.637,68.133,113960
3241,2068.797,37.156,32.637,69.793,118492
3300,2081.844,38.801,32.637,71.434,123508
3360,2140.531,39.988,32.637,72.625,122980
3420,1957.125,41.645,36.277,77.922,123332
3480,2087.500,43.262,48.777,92.035,123200
3541,2162.891,44.910,50.777,95.691,124520
3600,2275.031,46.461,50.777,97.238,132286
3660,2372.969,48.230,51.277,99.512,139392
3720,2470.562,49.738,51.777,101.520,132462
3780,2561.234,51.504,51.777,103.281,132396
3840,2646.062,53.180,51.777,104.949,126236
3900,2718.906,55.219,51.777,106.996,151426
3960,2802.125,56.926,51.777,108.703,151096
4020,2890.562,58.805,51.777,110.578,152174
4080,2994.203,60.586,51.777,112.355,152878
4140,3107.969,62.465,51.777,114.238,154748
4200,3204.656,64.316,51.777,116.094,155562
4260,3298.875,66.027,51.777,117.801,153120
4320,3399.656,67.906,51.777,119.680,154572
4380,3496.266,69.727,51.777,121.500,156860
4440,3597.219,71.586,51.777,123.355,157674
4500,3696.359,73.473,51.777,125.254,165264
4560,3796.766,75.430,51.777,127.207,157520
4620,3890.203,77.297,51.777,129.078,159729
4680,4015.359,79.355,51.777,131.133,160258
4740,4113.219,81.188,51.777,132.965,159292
4800,4213.062,83.125,51.777,134.898,167641
4860,4312.797,85.027,51.777,136.793,159154
4920,4407.656,86.984,51.777,138.750,160557
4980,4516.578,89.172,51.777,140.941,187421
5040,4618.859,91.082,52.777,143.859,190227
5100,4720.031,92.961,52.777,145.734,192964
5160,4822.750,94.516,52.777,147.293,194321
5220,4934.391,96.426,52.777,149.203,196276
5280,5040.672,98.383,52.777,151.172,198070
