elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,6.203,0.000,1.516,1.516,0
60,40.125,2.832,1.516,4.348,27065
120,54.797,2.992,2.520,5.523,30954
180,87.594,2.738,2.520,5.266,34083
240,133.594,3.160,4.527,7.688,36582
300,185.594,2.824,4.527,7.352,15288
360,220.938,2.906,4.527,7.434,35658
420,256.219,2.875,8.543,11.418,33159
480,314.078,3.215,8.543,11.758,34364
540,386.234,2.617,8.543,11.164,10186
600,459.562,3.039,8.543,11.582,37048
660,518.062,3.102,8.543,11.645,34628
720,582.375,2.914,8.543,11.457,34562
780,651.953,3.184,8.543,11.727,32670
840,694.141,2.902,16.574,19.480,31548
900,746.906,3.031,16.574,19.598,35904
960,785.531,3.445,16.574,20.012,53372
1020,839.922,3.559,16.574,20.133,55594
1080,952.203,3.609,16.574,20.184,55594
1140,1039.594,3.773,16.574,20.344,45562
1200,1149.797,4.305,16.574,20.879,55506
1260,1253.000,4.496,16.574,21.074,53086
1320,1372.312,4.754,16.574,21.328,54142
1380,1486.656,4.926,16.574,21.500,53988
1440,1598.453,5.141,16.574,21.723,54230
1500,1666.156,5.668,16.574,22.242,53350
1560,1754.156,5.797,16.574,22.359,48598
1620,1868.453,6.496,16.574,23.078,71984
1680,1978.000,6.609,32.637,39.246,46134
1740,2086.969,7.199,32.637,39.832,71126
1800,2183.719,7.348,32.637,39.984,78364
