elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,6.203,0.000,1.516,1.516,0
60,40.125,2.832,1.516,4.348,27065
120,54.797,2.992,2.520,5.523,30954
180,87.594,2.738,2.520,5.266,34083
240,133.594,3.160,4.527,7.688,36582
300,185.594,2.824,4.527,7.352,15288
360,220.938,2.906,4.527,7.434,35658
420,256.219,2.875,8.543,11.418,33159
480,314.078,3.215,8.543,11.758,34364
540,386.234,2.617,8.543,11.164,10186
600,459.562,3.039,8.543,11.582,37048
660,518.062,3.102,8.543,11.645,34628
720,582.375,2.914,8.543,11.457,34562
780,651.953,3.184,8.543,11.727,32670
840,694.141,2.902,16.574,19.480,31548
900,746.906,3.031,16.574,19.598,35904
960,785.531,3.445,16.574,20.012,53372
1020,839.922,3.559,16.574,20.133,55594
1080,952.203,3.609,16.574,20.184,55594
1140,1039.594,3.773,16.574,20.344,45562
1200,1149.797,4.305,16.574,20.879,55506
1260,1253.000,4.496,16.574,21.074,53086
1320,1372.312,4.754,16.574,21.328,54142
1380,1486.656,4.926,16.574,21.500,53988
1440,1598.453,5.141,16.574,21.723,54230
1500,1666.156,5.668,16.574,22.242,53350
1560,1754.156,5.797,16.574,22.359,48598
1620,1868.453,6.496,16.574,23.078,71984
1680,1978.000,6.609,32.637,39.246,46134
1740,2086.969,7.199,32.637,39.832,71126
1800,2183.719,7.348,32.637,39.984,78364
1860,2281.219,8.086,32.637,40.719,76670
1920,2414.922,8.617,32.637,41.258,72996
1980,2395.328,9.484,32.637,42.125,96580
2040,2540.578,10.309,32.637,42.949,96734
2100,2691.719,10.855,32.637,43.488,95282
2160,2779.297,11.395,32.637,44.031,95150
2221,2903.641,12.168,32.637,44.805,95766
2280,2970.891,12.648,32.637,45.285,96470
2340,2838.422,13.539,32.637,46.172,94864
2400,3019.859,14.344,32.637,46.980,93852
2460,3095.688,15.090,32.637,47.719,92004
2520,3106.828,16.023,32.637,48.656,91894
2580,2785.828,16.945,32.637,49.586,92664
2640,2748.094,17.777,32.637,50.414,97614
2700,2886.766,18.648,32.637,51.285,94138
2760,3059.219,19.734,32.637,52.375,93346
2820,3226.016,20.609,32.637,53.246,94380
2880,3414.891,21.488,32.637,54.125,94864
2940,3589.625,22.645,32.637,55.285,115302
3000,3741.422,23.547,32.637,56.184,112178
3060,3901.062,24.414,32.637,57.051,105446
3120,4049.172,25.508,32.637,58.145,107052
3180,4219.344,26.797,32.637,59.434,112398
3240,4414.750,28.074,32.637,60.711,115434
3300,4585.203,29.137,32.637,61.773,107074
3360,4766.031,30.230,34.777,65.008,95194
3420,4926.938,31.484,43.777,75.266,95898
3480,5126.297,32.621,49.777,82.406,105952
3540,4978.391,34.051,49.777,83.828,119592
3600,5167.516,35.375,51.277,86.656,118954
3660,5312.453,36.703,51.777,88.484,116996
3720,5409.078,37.855,51.777,89.633,118756
3780,5555.422,39.180,51.777,90.953,120516
3840,5540.703,40.500,51.777,92.273,121242
3900,5390.484,41.914,51.777,93.688,122078
3960,5370.516,43.250,51.777,95.031,125488
4020,5000.609,44.773,51.777,96.559,141768
4080,5186.609,46.277,51.777,98.055,150172
4140,5349.547,47.707,51.777,99.484,154374
4200,5529.594,49.062,51.777,100.844,153274
4260,5716.375,50.473,51.777,102.254,151558
4320,5928.719,52.211,51.777,103.984,151294
4380,6098.984,53.426,51.777,105.199,152900
4440,6067.188,54.918,51.777,106.695,154418
4500,6204.938,56.383,51.777,108.160,154198
4560,6329.297,57.895,51.777,109.672,164174
4620,6420.484,59.520,51.777,111.293,153677
4680,6440.906,61.188,51.777,112.969,155103
4740,6525.391,62.684,51.777,114.453,156667
4800,6669.172,64.375,51.777,116.148,157610
4860,6765.062,65.953,51.777,117.730,175757
4920,6960.422,67.617,51.777,119.395,182450
4980,6504.219,68.984,52.277,121.262,177965
5040,6694.734,70.637,52.277,122.914,183623
5100,6759.656,72.031,52.277,124.309,185440
5160,6737.625,73.582,52.277,125.855,182680
5220,6909.359,75.203,52.277,127.480,184106
5280,6788.281,76.883,52.277,129.160,185164
5340,6849.625,78.504,52.277,130.777,202368
5400,6719.516,80.090,53.777,133.867,212051
5460,6836.547,81.414,55.777,137.188,211982
5520,6989.875,83.105,59.777,142.895,213960
5580,7158.812,84.668,60.777,145.438,217111
5640,7326.969,86.574,60.777,147.352,218698
5700,7306.391,88.012,60.777,148.789,220446
5760,7133.484,90.133,62.777,152.906,246574
5820,7293.703,91.836,62.777,154.617,240824
5880,7463.016,93.684,62.777,156.457,248230
5940,7576.734,95.449,62.777,158.230,249127
6000,7753.109,97.266,62.777,160.039,250162
6060,7773.719,99.117,62.777,161.898,247494
6120,7753.188,100.773,62.777,163.543,251565
6180,7971.562,102.781,62.777,165.562,252991
6240,8157.875,104.734,62.777,167.516,253428
6300,8281.938,106.320,62.777,169.102,252761
6360,8463.734,108.070,62.777,170.852,260581
6420,8611.219,110.094,62.777,172.867,254440
6480,8823.141,112.309,62.777,175.090,281626
6540,8980.328,114.074,62.777,176.848,281971
6600,9107.328,115.719,62.777,178.500,258258
6660,9065.016,117.773,62.777,180.551,281120
6720,9239.328,119.656,62.777,182.434,281994
6780,9303.281,121.703,70.027,191.742,283305
6840,9315.391,123.680,85.027,208.703,284294
6900,9335.500,125.703,93.027,218.730,285605
6960,9374.500,127.578,97.027,224.594,285536
7020,9498.656,129.715,99.027,228.742,287399
7080,9699.156,131.344,99.027,230.367,288756
7140,9539.703,133.242,99.027,232.270,289860
7200,9772.188,135.332,103.027,238.359,291562
7260,9728.328,137.172,103.027,240.195,290481
7320,9794.906,139.383,103.027,242.410,315068
7380,9946.094,140.930,103.027,243.953,295219
7440,9366.281,142.969,103.027,246.000,293701
7500,9520.203,145.172,103.027,248.199,321738
7560,9694.578,147.082,103.027,250.117,321646
7620,9874.328,149.051,103.027,252.078,324314
7680,9751.344,150.934,103.027,253.961,325694
7740,9527.797,152.527,103.027,255.547,325418
7800,9657.641,154.559,103.027,257.578,327327
7860,9691.125,156.426,103.027,259.445,325763
7920,9812.328,158.484,103.027,261.512,326016
7980,9976.719,160.395,103.027,263.418,333491
8040,10160.922,162.367,103.027,265.402,336136
8100,9917.141,164.320,103.027,267.355,332180
8160,9988.141,166.461,103.027,269.492,351063
8220,10183.984,168.570,103.027,271.602,357779
8280,10057.844,170.621,103.027,273.645,360700
8340,10133.438,172.391,103.027,275.406,362103
8400,10210.938,174.090,103.027,277.117,360263
8460,10127.469,175.953,103.027,278.973,358906
8520,10215.234,178.051,103.027,281.082,358791
8580,10337.266,180.219,103.027,283.250,359113
8640,10337.453,182.297,103.027,285.312,386690
8700,10410.438,184.371,103.027,287.402,386943
8760,10437.297,186.137,103.027,289.164,388714
8820,10519.531,188.094,103.027,291.121,388323
8880,10521.562,189.879,103.027,292.906,386920
8940,10609.484,191.699,103.027,294.727,386575
9000,10570.422,193.848,103.027,296.875,388714
