elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,0.031,0.000,0.000,0.000,
60,40.078,2.863,1.516,4.379,25197
120,56.188,2.961,2.520,5.477,29085
180,72.234,2.867,2.520,5.387,32088
240,118.297,2.930,4.527,7.457,34671
300,164.031,3.082,4.527,7.602,30429
360,70.828,3.086,4.527,7.613,23940
420,126.312,2.973,8.543,11.520,24612
480,190.016,3.125,8.543,11.664,27830
540,256.266,3.000,8.543,11.543,28886
600,317.234,3.180,8.543,11.723,29964
660,92.328,3.188,8.543,11.730,28688
720,166.562,3.156,8.543,11.707,30030
780,244.891,3.012,8.543,11.551,30756
840,327.906,3.000,8.543,11.547,30668
900,413.703,3.105,16.574,19.668,31350
