elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,0.031,0.000,0.000,0.000,
60,40.781,2.965,1.516,4.484,25428
120,54.312,3.020,2.520,5.535,29820
180,75.453,2.742,4.527,7.270,33684
240,113.906,3.082,4.527,7.605,36351
300,162.031,2.758,4.527,7.285,15603
360,209.531,3.047,4.527,7.574,38157
420,269.172,3.246,8.543,11.789,40438
480,328.438,2.973,8.543,11.516,27236
540,388.297,2.977,8.543,11.520,20042
600,451.812,2.938,8.543,11.480,24728
660,513.578,3.113,8.543,11.656,44264
720,582.047,3.055,8.543,11.602,19690
780,668.625,3.215,8.543,11.758,41162
840,748.391,3.102,16.574,19.676,19118
900,828.359,3.008,16.574,19.582,29370
