elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
0,0.031,0.000,0.000,0.000,
60,40.609,2.836,1.516,4.352,41055
120,53.344,2.762,2.520,5.273,20160
180,73.562,2.941,2.520,5.461,21945
240,106.219,3.055,4.527,7.582,24591
300,157.750,3.051,4.527,7.582,27300
360,207.484,2.895,4.527,7.422,26733
420,259.547,2.824,8.543,11.363,27447
480,312.828,3.078,8.543,11.621,28754
540,380.484,2.969,8.543,11.512,26092
600,452.547,3.098,8.543,11.641,27280
660,521.094,3.098,8.543,11.641,25806
720,587.469,3.059,8.543,11.598,26598
780,668.766,2.918,8.543,11.461,26598
840,750.078,3.031,16.574,19.605,27412
900,844.844,3.000,16.574,19.570,28270
