elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031
60,41.234,2.902,1.516,4.414,39858,33.360,33.360,2.078,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,203,4263,1203,0,0,0,0,0,1000,19821,40356,6.188
120,55.734,2.941,2.520,5.461,24549,37.391,38.563,11.812,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,169,3549,1169,3000,3000,0,0,61356,3000,61356,82356,6.297
180,64.625,2.961,2.520,5.492,23226,44.329,44.329,13.750,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,105,2205,1106,5000,5000,0,0,103356,5000,103356,124356,6.297
240,79.375,2.891,4.527,7.418,22827,52.563,52.563,20.266,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,87,1827,1087,7000,7000,0,0,145356,7000,145356,166356,6.297
300,105.391,2.895,4.527,7.422,23457,67.750,67.750,31.094,0.000,65,11,11,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,986,20706,986,8000,8000,0,0,166356,9000,187356,187356,6.312
360,141.875,3.023,4.527,7.551,19068,81.891,82.907,53.359,0.000,78,13,13,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,776,16296,776,10000,10000,0,0,208356,11000,229356,229356,6.516
420,187.125,3.242,4.527,7.770,42105,97.829,97.829,82.719,0.000,91,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,874,18354,1874,11000,11000,0,0,229356,12000,250356,271356,6.531
480,230.031,3.371,8.543,11.910,40525,113.469,116.141,109.875,0.000,104,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21362,0,746,16412,1746,13000,13000,0,0,271356,14000,292356,313718,6.531
540,279.312,3.145,8.543,11.680,25059,128.704,130.876,144.734,0.000,117,19,19,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,563,12386,563,15000,15000,0,0,314718,17000,357718,357718,6.531
600,327.922,3.371,8.543,11.910,37181,144.407,147.548,176.875,0.000,130,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,565,12430,1565,17000,17000,0,0,358718,18000,379718,401718,6.531
660,370.141,3.602,8.543,12.148,32121,162.438,162.438,201.141,0.000,143,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,335,7370,1335,19000,19000,0,0,402718,20000,423718,445718,6.531
720,416.500,3.461,8.543,12.004,29327,175.454,177.548,234.641,0.000,156,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,208,4576,1208,21000,21000,0,0,446718,22000,467718,489718,6.531
780,462.625,3.766,8.543,12.305,26643,186.829,193.485,269.266,0.000,169,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,86,1892,1086,23000,23000,0,0,490718,24000,511718,533718,6.531
840,516.359,3.801,8.543,12.344,23409,221.782,221.782,288.031,0.000,182,28,28,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,920,20240,920,24000,24000,0,0,512718,26000,555718,555718,6.531
900,546.578,4.004,16.574,20.578,46641,217.641,224.829,322.422,0.000,195,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,976,21472,1976,25000,25000,0,0,534718,27000,577718,599718,6.531
