elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
9300,6198.812,3.430,105.027,108.457,29624,6285.554,6285.554,30.859,119.516,2013,339,339,337,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,288,6624,1288,336000,336000,0,0,7565354,336000,7565354,7588354,6.453
9360,6234.281,3.250,105.027,108.281,31901,5693.836,6320.242,584.812,46.266,2026,341,341,339,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,387,8901,1387,338000,338000,0,0,7611354,338000,7611354,7634354,6.453
9420,6256.516,3.477,105.027,108.504,35420,5715.836,6320.242,584.812,46.016,2039,343,343,341,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,540,12420,1540,340000,340000,0,0,7657354,340000,7657354,7680354,6.453
9480,6269.625,3.305,105.027,108.355,30475,5740.117,6320.242,573.406,45.781,2052,345,345,344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,764,17572,764,342000,342000,0,0,7703354,343000,7726354,7726354,6.453
9540,6275.672,3.238,105.027,108.262,45724,5793.133,6320.242,526.578,45.891,2065,347,347,345,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,988,22724,1988,344000,344000,0,0,7749354,344000,7749354,7772354,6.453
9600,6302.547,3.324,105.027,108.348,29693,5822.633,6320.242,523.750,45.672,2078,350,350,348,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,196,4508,1196,346000,346000,0,0,7795354,347000,7818354,7841354,6.453
9660,6321.922,3.328,107.027,110.352,29831,5842.508,6320.242,522.922,45.344,2091,352,352,350,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,297,6831,1297,349000,349000,0,0,7864354,349000,7864354,7887354,6.453
9720,6343.281,3.199,113.027,116.227,35259,5868.961,6320.242,517.906,45.422,2104,354,354,352,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,533,12259,1533,351000,351000,0,0,7910354,351000,7910354,7933354,6.453
9780,6371.109,3.285,117.027,120.312,38755,5896.586,6320.242,517.688,44.969,2117,356,356,355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,758,17434,758,353000,353000,0,0,7956354,354000,7979354,7979354,6.453
9840,6421.234,3.215,123.027,126.238,22011,5946.429,6320.242,517.688,44.672,2130,358,358,357,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,957,22011,957,356000,356000,0,0,8025354,356000,8025354,8025354,6.453
