elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq
0,3.266,0.000,0.000,0.000,,2.000,2.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,91084,0.087,0,1
60,40.891,2.863,1.516,4.371,26289,31.657,33.438,2.281,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,274,5754,1274,1000,1000,0,0,19821,1000,19821,40356,6.766,18136550,17.296,60,3
120,55.656,3.047,2.520,5.562,28749,40.938,40.938,7.703,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,369,7749,1369,3000,3000,0,0,61356,3000,61356,82356,6.812,22664929,21.615,120,5
180,65.094,3.121,2.520,5.641,29904,39.610,42.079,18.562,0.000,40,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,424,8904,1424,5000,5000,0,0,103356,5000,103356,124356,6.812,25147384,23.982,180,7
240,81.438,3.082,4.527,7.609,34398,50.594,51.547,23.812,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,638,13398,1638,7000,7000,0,0,145356,7000,145356,166356,6.812,27149715,25.892,210,8
300,91.906,3.121,4.527,7.652,38388,53.360,53.360,31.484,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,827,17367,1827,9000,9000,0,0,187356,9000,187356,208356,6.812,32656805,31.144,300,11
360,105.562,3.207,4.527,7.738,40929,59.141,59.141,40.328,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,949,19929,1949,11000,11000,0,0,229356,11000,229356,250356,7.031,37200195,35.477,360,13
420,120.172,3.258,8.543,11.801,30766,59.657,61.204,53.266,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,174,3828,1174,13000,13000,0,0,271356,14000,292356,313708,7.031,41984205,40.039,420,15
480,133.031,3.285,8.543,11.828,31196,60.282,64.688,67.047,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,260,5720,1260,15000,15000,0,0,313708,16000,335708,357708,7.031,44592428,42.527,480,17
540,147.688,3.352,8.543,11.887,28182,52.454,67.407,88.000,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,281,6182,1281,18000,18000,0,0,379708,18000,379708,401708,7.031,46800252,44.632,540,19
600,155.203,3.449,8.543,11.992,32318,50.485,67.407,97.500,0.000,130,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,469,10318,1469,20000,20000,0,0,423708,20000,423708,445708,7.031,49346857,47.061,600,21
660,159.016,3.473,8.543,12.016,33594,50.438,67.407,101.344,0.000,143,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,527,11594,1527,22000,22000,0,0,467708,22000,467708,489708,7.031,50395535,48.061,630,22
720,167.641,3.406,8.543,11.949,32230,54.969,67.407,105.516,0.000,156,27,27,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,773,17006,773,24000,24000,0,0,511708,25000,533708,533708,7.031,53412270,50.938,690,24
780,182.375,3.340,16.574,19.910,23672,65.844,67.407,110.781,0.000,169,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,75,1650,1075,27000,27000,0,0,577708,27000,577708,599708,7.031,59943424,57.167,750,26
840,187.359,3.508,16.574,20.082,29458,60.766,67.407,119.375,0.000,182,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,339,7458,1339,29000,29000,0,0,621708,29000,621708,643708,7.031,68167435,65.010,840,29
900,194.203,3.605,16.574,20.172,35376,60.782,67.407,126.203,0.000,195,34,34,32,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,608,13376,1608,31000,31000,0,0,665708,31000,665708,687708,7.031,70724541,67.448,900,31
