elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq
0,3.875,0.000,0.000,0.000,,2.344,2.344,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.203,,,,
60,42.984,2.379,1.516,3.891,24040,35.625,35.625,0.000,0.000,13,3,3,0,3,1,0,0,0,0,1,0,0,0,1000,0,0,19820,0,211,4220,1211,0,0,0,0,0,0,0,19820,7.391,,,,
120,52.000,2.297,1.516,3.809,23979,40.969,47.250,3.250,0.000,26,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,164,3444,1164,1000,1000,0,0,19820,1000,19820,40355,7.516,,,,
180,56.016,2.352,2.520,4.871,20853,43.907,47.250,4.328,0.000,39,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,993,20853,993,2000,2000,0,0,40355,2000,40355,40355,7.516,,,,
240,63.281,2.227,2.520,4.746,16632,48.016,49.547,7.500,0.000,51,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,792,16632,792,3000,3000,0,0,61355,3000,61355,61355,7.516,,,,
300,67.500,2.301,3.496,5.797,11739,49.469,51.344,10.250,0.000,64,6,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,521,10941,521,3000,3000,0,0,61355,4000,82355,82355,7.516,,,,
360,72.422,2.340,3.496,5.836,26733,54.188,54.188,10.250,0.000,76,7,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,322,6762,322,4000,4000,0,0,82355,5000,103355,103355,7.734,,,,
420,74.984,2.305,3.496,5.801,20433,49.907,56.172,17.078,0.000,89,7,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,972,20412,973,5000,5000,0,0,103355,5000,103355,103355,7.734,,,,
480,81.797,2.332,3.496,5.828,18459,56.313,56.313,17.609,0.000,101,8,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,606,12726,607,5000,5000,0,0,103355,6000,124355,124355,7.734,,,,
540,85.562,2.309,6.480,8.789,27300,58.766,58.766,18.812,0.000,114,9,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,319,6699,319,6000,6000,0,0,124355,7000,145355,145355,7.734,,,,
600,99.344,2.258,6.480,8.738,17304,65.407,76.391,26.062,0.000,126,9,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,824,17304,824,7000,7000,0,0,145355,7000,145355,145355,7.734,,,,
660,102.469,2.359,6.480,8.840,21378,64.219,76.391,30.281,0.000,138,10,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,404,8484,404,7000,7000,0,0,145355,8000,166355,166355,7.734,,,,
720,108.281,2.359,6.480,8.840,20055,67.547,76.391,32.766,0.000,151,10,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,954,20034,955,8000,8000,0,0,166355,8000,166355,166355,7.734,,,,
780,109.875,2.359,6.480,8.840,13713,64.313,76.391,37.594,0.000,163,11,11,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,428,8988,429,8000,8000,0,0,166355,9000,187355,187355,7.734,,,,
840,110.031,2.453,6.480,8.934,22092,64.063,76.391,38.000,0.000,175,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,52,1092,1052,9000,9000,0,0,187355,9000,187355,208355,7.734,,,,
900,112.312,2.418,6.480,8.902,15771,64.641,76.391,39.703,0.000,187,12,12,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,489,10269,489,9000,9000,0,0,187355,10000,208355,208355,7.734,,,,
