elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq
0,12.953,0.027,1.516,1.520,0,8.391,8.391,0.000,0.000,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.016,,,,
60,39.328,3.074,1.516,4.590,43169,30.063,30.063,2.859,0.000,14,4,4,0,4,1,0,0,0,0,2,0,0,0,2000,0,0,40355,0,134,2814,2134,0,0,0,0,0,0,0,40355,6.156,,,,
120,55.297,3.023,2.520,5.547,27111,39.954,39.954,8.875,0.000,27,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,291,6111,1291,3000,3000,0,0,61355,3000,61355,82355,6.266,,,,
180,76.609,3.059,2.520,5.582,30534,52.625,56.875,17.453,0.000,41,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,454,9534,1454,5000,5000,0,0,103355,5000,103355,124355,6.266,,,,
240,117.609,3.133,4.527,7.660,32487,76.344,76.344,34.875,0.000,53,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,547,11487,1547,7000,7000,0,0,145355,7000,145355,166355,6.266,,,,
300,155.578,3.129,4.527,7.652,35217,93.563,98.094,55.547,0.000,66,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,677,14217,1677,9000,9000,0,0,187355,9000,187355,208355,6.266,,,,
360,203.156,3.395,4.527,7.922,36876,123.516,123.516,73.234,0.000,79,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,756,15876,1756,11000,11000,0,0,229355,11000,229355,250355,6.438,,,,
420,255.375,3.348,8.543,11.887,40900,135.594,141.438,113.484,0.000,92,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,934,19900,1934,13000,13000,0,0,271355,13000,271355,292355,6.438,,,,
480,316.484,3.156,8.543,11.695,43670,161.298,161.298,150.547,0.000,105,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,106,2332,1106,15000,15000,0,0,313707,16000,335707,357707,6.438,,,,
540,392.766,3.387,8.543,11.938,29590,188.719,200.579,197.922,0.000,118,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,345,7590,1345,18000,18000,0,0,379707,18000,379707,401707,6.438,,,,
600,460.766,3.457,8.543,12.000,34474,219.751,219.751,234.531,0.000,131,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,567,12474,1567,20000,20000,0,0,423707,20000,423707,445707,6.438,,,,
660,530.984,3.367,8.543,11.906,37664,232.610,245.766,292.094,0.000,144,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,712,15664,1712,22000,22000,0,0,467707,22000,467707,489707,6.438,,,,
720,626.672,3.406,8.543,11.945,21340,278.813,280.313,342.328,0.000,157,27,27,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,970,21340,970,25000,25000,0,0,533707,25000,533707,533707,6.438,,,,
780,746.734,3.516,16.574,20.090,28688,342.657,342.657,398.516,0.000,170,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,304,6688,1304,27000,27000,0,0,577707,27000,577707,599707,6.438,,,,
840,859.141,3.316,16.574,19.887,35750,387.017,387.017,466.000,0.000,183,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,625,13750,1625,29000,29000,0,0,621707,29000,621707,643707,6.438,,,,
900,981.688,3.344,16.574,19.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
