elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,7.078,0.000,0.000,0.000,,5.563,5.563,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.188,,,,,1198560,2654208,6602752,20414464,29917184,4432176,0,1,,
60,42.094,2.965,1.516,4.488,24295,36.266,36.516,0.000,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20536,0,179,3759,1179,1000,1000,0,0,19820,1000,19820,40356,6.672,,,,,19778336,35291136,43335680,37748736,82313216,5870832,30,2,,
120,53.172,3.051,2.520,5.578,30261,47.766,47.797,0.000,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,441,9261,1441,3000,3000,0,0,61356,3000,61356,82356,6.703,,,,,27594864,50364416,60538880,57556992,101302272,6240840,120,5,,
180,63.547,3.125,2.520,5.637,34566,58.126,58.126,0.000,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,646,13566,1646,5000,5000,0,0,103356,5000,103356,124356,6.703,,,,,33811944,61636608,73957376,50053120,114573312,6371400,180,7,,
241,75.594,3.180,4.527,7.703,39165,69.782,70.047,0.000,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,865,18165,1865,7000,7000,0,0,145356,7000,145356,166356,6.703,,,,,40965224,72302592,85917696,66093056,126320640,6622920,240,9,,
300,86.625,3.203,4.527,7.730,42441,81.047,81.047,0.000,0.000,65,13,12,10,3,1,1,1,1,0,1,1,0,0,1000,1000,0,42000,0,21,441,2021,9000,9000,0,0,187356,9000,187356,229356,6.703,,,,,45122896,82886656,97402880,75710464,137674752,6717384,300,11,,
360,91.750,3.223,4.527,7.766,35322,86.782,87.110,0.000,0.000,78,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,85,1785,1085,11000,11000,0,0,229356,12000,250356,271356,6.922,,,,,45125304,82214912,96157696,84885504,136364032,6804552,330,12,,
420,104.031,3.289,8.543,11.832,28327,98.079,99.672,0.000,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21353,0,317,6974,1317,14000,14000,0,0,292356,14000,292356,313709,6.922,,,,,56244368,95387648,116211712,98107392,156172288,7017288,420,15,,
480,109.016,3.434,8.543,11.980,33506,103.251,104.204,0.000,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,523,11506,1523,16000,16000,0,0,335709,16000,335709,357709,6.922,,,,,58801552,101990400,121585664,97075200,161398784,7180104,480,17,,
540,111.453,3.305,8.543,11.875,38038,105.735,109.188,0.000,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,729,16038,1729,18000,18000,0,0,379709,18000,379709,401709,6.922,,,,,59242752,102318080,120340480,107790336,160120832,7220424,510,18,,
600,126.562,3.285,8.543,11.828,21142,120.813,121.797,0.000,0.000,130,23,23,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,961,21142,961,21000,21000,0,0,445709,21000,445709,445709,6.922,,,,,64935216,112148480,138952704,108249088,178536448,7429704,600,21,,
660,139.156,3.281,8.543,11.824,45056,133.782,137.782,0.000,0.000,143,26,26,23,3,1,0,0,0,0,2,0,0,0,2000,0,0,44000,0,48,1056,2048,22000,22000,0,0,467709,22000,467709,511709,6.922,,,,,66532680,122830848,155615232,126992384,194920448,7716936,630,22,,
720,155.453,3.289,8.543,11.832,40194,150.001,150.141,0.000,0.000,156,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,295,6490,1295,24000,24000,0,0,511709,25000,533709,555709,6.922,,,,,73937328,136904704,169639936,153550848,208732160,7916616,720,25,,
780,165.281,3.383,16.574,19.957,32912,159.204,162.298,0.000,0.000,169,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,496,10912,1496,27000,27000,0,0,577709,27000,577709,599709,6.922,,,,,81802944,147832832,182321152,166674432,221298688,8018376,780,27,,
840,181.281,3.426,16.574,19.996,37378,174.969,176.219,0.000,0.000,182,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,699,15378,1699,29000,29000,0,0,621709,29000,621709,643709,6.922,,,,,77489304,145408000,181518336,177995776,220463104,8054472,810,28,,
900,185.969,3.328,16.574,19.898,36806,,,,,195,34,34,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,945,20790,945,31000,31000,0,0,665709,32000,687709,687709,,,,,,81169232,151666688,200441856,189693952,239173632,8266824,900,31,,
