elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,
60,47.938,3.008,1.516,4.523,41027,42.422,42.454,0.000,0.000,13,4,3,0,4,1,1,1,1,0,1,1,0,0,1000,1000,0,40355,0,32,672,2032,0,0,0,0,0,0,0,40355,6.641,,,,,22557264,37109760,43384832,39436288,86392832,6164256,30,2,,
120,56.844,3.105,2.520,5.625,22953,49.891,51.422,0.000,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,92,1932,1092,3000,3000,0,0,61355,3000,61355,82355,6.719,,,,,29800072,52248576,60981248,55672832,103710720,6411168,120,5,,
180,64.703,3.047,2.520,5.562,45591,59.594,60.297,0.000,0.000,39,8,8,5,3,1,0,0,0,0,2,0,0,0,2000,0,0,42000,0,171,3591,2171,4000,4000,0,0,82355,4000,82355,124355,6.719,,,,,33779200,61276160,72843264,64372736,115458048,6535200,180,7,,
240,78.516,3.051,4.527,7.578,44562,73.094,73.094,0.000,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,205,4305,1205,6000,6000,0,0,124355,7000,145355,166355,6.719,,,,,41301792,74760192,85377024,65208320,127729664,6794016,240,9,,
300,87.328,3.090,4.527,7.617,33348,82.172,83.016,0.000,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,262,5502,1262,8000,8000,0,0,166355,9000,187355,208355,6.719,,,,,45623080,85245952,96075776,75071488,138313728,6893856,300,11,,
360,99.828,3.250,4.527,7.777,25935,94.438,95.766,0.000,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,235,4935,1235,11000,11000,0,0,229355,11000,229355,250355,6.938,,,,,50356408,95731712,109641728,101056512,151650304,7123872,360,13,,
420,105.750,3.336,8.543,11.875,27489,100.469,102.719,0.000,0.000,91,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,309,6489,1309,13000,13000,0,0,271355,13000,271355,292355,6.938,,,,,52283296,99483648,114376704,112672768,156286976,7250592,420,15,,
480,118.016,3.418,8.543,11.961,30118,112.704,115.157,0.000,0.000,104,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,369,8118,1369,15000,15000,0,0,313706,15000,313706,335706,6.938,,,,,60312744,113623040,130351104,115769344,172064768,7421472,450,16,,
540,127.375,3.445,8.543,11.992,32142,121.782,122.047,0.000,0.000,117,20,20,18,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,461,10142,1461,17000,17000,0,0,357706,17000,357706,379706,6.938,,,,,62223272,114311168,135086080,129564672,176619520,7619616,510,18,,
600,130.719,3.504,8.543,12.047,32780,125.454,129.907,0.000,0.000,130,22,22,20,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,490,10780,1490,19000,19000,0,0,401706,19000,401706,423706,6.938,,,,,62352952,116752384,144572416,133758976,186056704,7667616,570,20,,
660,139.266,3.445,8.543,11.992,32274,134.688,140.344,0.000,0.000,143,24,24,22,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,467,10274,1467,21000,21000,0,0,445706,21000,445706,467706,6.938,,,,,67711128,127090688,151830528,140296192,193150976,7812000,630,22,,
720,152.719,3.453,8.543,12.000,33968,147.485,150.501,0.000,0.000,156,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,543,11946,1543,23000,23000,0,0,489706,23000,489706,511706,6.938,,,,,71961680,137461760,167591936,158449664,208551936,8200608,720,25,,
780,171.969,3.367,8.543,11.906,35838,165.954,166.391,0.000,0.000,169,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,629,13838,1629,25000,25000,0,0,533706,25000,533706,555706,6.938,,,,,79141336,153714688,187875328,176635904,228638720,8409504,780,27,,
840,172.797,3.383,16.574,19.965,37092,166.798,169.876,0.000,0.000,182,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,686,15092,1686,27000,27000,0,0,577706,27000,577706,599706,6.938,,,,,81361336,158449664,187301888,190365696,228016128,8458656,840,29,,
900,186.797,3.359,16.574,19.934,19008,180.204,182.157,0.000,0.000,195,32,32,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,864,19008,864,30000,30000,0,0,643706,30000,643706,643706,6.938,,,,,88226168,163495936,195379200,208420864,236175360,8505120,870,30,,
