elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,7.078,0.000,0.000,0.000,,8.157,8.157,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.031,,,,,1198560,2654208,6602752,20414464,29917184,4432176,0,1,,
60,46.719,3.160,1.516,4.691,23853,41.266,41.266,0.000,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,158,3318,1158,1000,1000,0,0,19820,1000,19820,40355,6.688,,,,,21153840,35110912,41385984,33914880,80379904,5877360,30,2,,
120,57.812,3.082,2.520,5.609,27846,52.797,52.797,0.000,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,326,6846,1326,3000,3000,0,0,61355,3000,61355,82355,6.719,,,,,28185848,49414144,56426496,52625408,95223808,6055920,90,4,,
180,67.047,3.141,2.520,5.660,32655,61.751,61.829,0.000,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,555,11655,1555,5000,5000,0,0,103355,5000,103355,124355,6.719,,,,,35453632,62210048,73990144,59359232,112607232,6255600,180,7,,
240,77.156,3.145,4.527,7.672,37317,71.532,71.563,0.000,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,777,16317,1777,7000,7000,0,0,145355,7000,145355,166355,6.719,,,,,39626544,70451200,81281024,64323584,121798656,6522312,210,8,,
300,84.859,3.293,4.527,7.816,42378,79.501,79.532,0.000,0.000,65,13,12,10,3,1,1,1,1,0,1,1,0,0,1000,1000,0,42000,0,18,378,2018,9000,9000,0,0,187355,9000,187355,229355,6.719,,,,,44252296,78381056,92798976,63963136,133169152,6662088,300,11,,
360,98.484,3.160,4.527,7.684,31311,93.235,93.969,0.000,0.000,78,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,107,2247,1107,11000,11000,0,0,229355,12000,250355,271355,6.938,,,,,48266824,87113728,99532800,78872576,139755520,6809928,330,12,,
420,111.500,3.387,8.543,11.922,29030,105.704,108.829,0.000,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,349,7678,1349,14000,14000,0,0,292355,14000,292355,313707,6.938,,,,,58400584,103301120,123387904,87900160,163233792,7163976,420,15,,
480,116.328,3.422,8.543,11.961,34540,111.001,113.688,0.000,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,570,12540,1570,16000,16000,0,0,335707,16000,335707,357707,6.938,,,,,57244768,103301120,119128064,113770496,158859264,7292616,450,16,,
540,119.141,3.312,8.543,11.859,39534,113.657,119.797,0.000,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,796,17512,1796,18000,18000,0,0,379707,18000,379707,401707,6.938,,,,,62622792,111394816,128729088,118964224,168345600,7376328,540,19,,
600,129.000,3.312,8.543,11.855,31504,123.360,123.422,0.000,0.000,130,23,23,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,970,21340,970,20000,20000,0,0,423707,21000,445707,445707,6.938,,,,,66047024,114442240,138772480,124682240,178356224,7434312,600,21,,
660,134.469,3.336,8.543,11.875,22946,129.157,132.844,0.000,0.000,143,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,43,946,1043,23000,23000,0,0,489707,23000,489707,511707,6.938,,,,,68290256,117194752,146522112,134381568,185958400,7595592,630,22,,
720,147.203,3.445,8.543,11.988,27060,141.829,144.266,0.000,0.000,156,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,230,5060,1230,25000,25000,0,0,533707,25000,533707,555707,6.938,,,,,70292680,122322944,145195008,146866176,184483840,7738056,690,24,,
780,158.094,3.312,16.574,19.891,32164,152.282,161.829,0.000,0.000,169,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,462,10164,1462,27000,27000,0,0,577707,27000,577707,599707,6.938,,,,,76790296,141295616,172294144,168230912,211353600,7951560,780,27,,
840,175.234,3.238,16.574,19.812,36476,169.594,174.251,0.000,0.000,182,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,657,14454,1657,29000,29000,0,0,621707,29000,621707,643707,6.938,,,,,85216936,149405696,176701440,177504256,215711744,8015688,810,28,,
900,171.406,3.293,16.574,19.879,41514,165.954,174.251,0.000,0.000,195,34,34,32,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,887,19514,1887,31000,31000,0,0,665707,31000,665707,687707,6.938,,,,,88258032,155500544,182534144,189693952,221347840,8201928,900,31,,
