elapsed_secs,amp_fp
300.0,2.378383
600.2,2.452929
900.4,2.654887
1201.2,2.600492
1501.3,2.400650
1801.5,2.451305
2101.8,2.492218
2402.0,2.293357
2702.1,2.305079
3002.4,2.352958
3302.6,2.402889
3602.8,2.282908
3903.1,2.203069
4203.6,2.220623
4504.1,2.196001
4804.4,2.174644
5104.8,2.248356
5405.1,2.118570
5705.5,2.174346
6005.9,2.261417
6306.3,2.258752
6606.7,2.243805
6907.2,2.260107
7207.7,2.178058
7508.1,2.229335
7808.6,2.210416
8109.1,2.173309
8409.5,2.179919
8710.0,2.106529
9010.4,2.123220
9310.8,2.225876
9611.2,2.268204
9911.7,2.115123
10212.2,2.190901
10512.7,2.134818
10813.2,2.173008
11113.8,2.206191
11414.2,2.152650
11714.7,2.216317
12015.2,2.192290
12315.7,2.208850
12616.3,2.252789
12917.1,2.155494
13217.7,2.285315
13518.3,2.236153
13818.8,2.424422
14119.4,2.269549
14402.2,2.210888
