elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,
60,46.562,3.051,1.516,4.566,19800,40.657,41.094,0.000,0.000,13,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,965,19800,965,1000,1000,0,0,19822,1000,19822,19822,6.688,,,,,22272328,37928960,44498944,37126144,83460096,5895024,30,2,,
120,54.125,3.035,2.520,5.559,20790,48.766,49.344,0.000,0.000,26,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,990,20790,990,3000,3000,0,0,61357,3000,61357,61357,6.719,,,,,27624624,47022080,53919744,49332224,92749824,6015984,90,4,,
180,64.188,3.176,2.520,5.699,21672,58.704,59.204,0.000,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,32,672,1032,5000,5000,0,0,103357,5000,103357,124357,6.719,,,,,33059512,57966592,66715648,54165504,109412352,6437664,150,6,,
240,75.031,3.199,4.527,7.734,21630,69.360,71.157,0.000,0.000,52,10,9,8,2,1,1,1,1,0,0,1,0,0,0,1000,0,21000,0,28,588,1028,7000,7000,0,0,145357,7000,145357,166357,6.719,,,,,36570152,63684608,73367552,65454080,115949568,6549408,210,8,,
300,83.531,3.117,4.527,7.645,22176,77.922,80.454,0.000,0.000,65,12,11,10,2,1,1,1,1,0,0,1,0,0,0,1000,0,21000,0,56,1176,1056,9000,9000,0,0,187357,9000,187357,208357,6.719,,,,,41680912,74678272,85655552,68583424,128024576,6798624,270,10,,
360,98.969,3.207,4.527,7.734,41769,92.844,92.844,0.000,0.000,78,13,13,11,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,989,20769,1989,10000,10000,0,0,208357,10000,208357,229357,6.938,,,,,47606768,88309760,100990976,84328448,143212544,6949152,330,12,,
420,103.031,3.301,8.543,11.844,41160,97.282,101.001,0.000,0.000,91,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,960,20160,1960,12000,12000,0,0,250357,12000,250357,271357,6.938,,,,,53181328,99778560,117293056,97615872,159285248,7158048,390,14,,
480,115.531,3.277,8.543,11.824,43329,110.376,111.266,0.000,0.000,104,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21351,0,998,21956,1998,14000,14000,0,0,292357,14000,292357,313708,6.938,,,,,58077328,106758144,124813312,102793216,166690816,7276704,450,16,,
540,119.766,3.320,8.543,11.859,43934,113.969,117.954,0.000,0.000,117,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,997,21934,1997,16000,16000,0,0,335708,16000,335708,357708,6.938,,,,,60378456,110460928,127664128,112721920,169345024,7512480,510,18,,
600,126.859,3.281,8.543,11.824,44572,121.313,128.485,0.000,0.000,130,22,22,19,3,1,0,0,0,0,2,0,0,0,2000,0,0,44000,0,26,572,2026,18000,18000,0,0,379708,18000,379708,423708,6.938,,,,,63388248,118505472,141508608,125730816,183074816,7616928,570,20,,
660,142.594,3.168,8.543,11.711,41932,137.297,141.297,0.000,0.000,143,23,23,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,952,20944,952,20000,20000,0,0,423708,21000,445708,445708,6.938,,,,,66025504,129744896,149045248,145145856,190398464,7826976,630,22,,
720,148.109,3.289,8.543,11.828,35134,142.860,148.454,0.000,0.000,156,25,25,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,960,21120,960,22000,22000,0,0,467708,23000,489708,489708,6.938,,,,,69657720,132464640,152354816,160874496,193544192,7984800,690,24,,
780,168.375,3.352,8.543,11.895,32274,162.626,162.626,0.000,0.000,169,27,27,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,979,21538,979,24000,24000,0,0,511708,25000,533708,533708,6.938,,,,,70900200,137379840,160350208,171950080,201342976,8198304,750,26,,
840,166.516,3.332,16.574,19.918,29150,160.204,162.735,0.000,0.000,182,30,29,28,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,3,66,1003,26000,26000,0,0,555708,27000,577708,599708,6.938,,,,,77501840,147521536,171573248,193298432,212500480,8261280,810,28,,
900,181.578,3.391,16.574,19.973,23892,176.532,178.563,0.000,0.000,195,32,31,30,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,24,528,1024,28000,28000,0,0,599708,29000,621708,643708,6.938,,,,,84958248,157319168,183074816,190365696,225918976,8470776,870,30,,
960,193.234,3.289,16.574,19.863,20856,187.313,191.548,0.000,0.000,208,33,33,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,948,20856,948,31000,31000,0,0,665708,31000,665708,665708,6.938,,,,,89638976,171999232,208633856,216530944,251133952,8808696,930,32,,
1020,194.219,3.285,16.574,19.859,20592,188.329,192.173,0.000,0.000,221,35,35,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,936,20592,936,33000,33000,0,0,709708,33000,709708,709708,6.938,,,,,90122016,173572096,204603392,244826112,246956032,8936568,990,34,,
1080,199.672,3.418,16.574,19.996,21032,193.532,206.923,0.000,0.000,234,37,37,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,956,21032,956,35000,35000,0,0,753708,35000,753708,753708,6.938,,,,,95551160,180076544,207962112,247775232,250298368,8977272,1050,36,,
1140,203.203,3.426,16.574,19.996,21890,197.173,212.735,0.000,0.000,247,39,39,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,995,21890,995,37000,37000,0,0,797708,37000,797708,797708,6.938,,,,,97085832,184647680,214106112,262717440,256327680,9080184,1110,38,,
1200,222.734,3.344,16.574,19.922,22286,216.782,220.798,0.000,0.000,260,42,41,40,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,13,286,1013,39000,39000,0,0,841708,39000,841708,863708,6.938,,,,,96528312,185188352,219152384,264077312,261259264,9183480,1170,40,,
1260,215.719,3.352,16.574,19.926,41976,208.751,220.798,0.000,0.000,273,43,43,41,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,908,19976,1908,40000,40000,0,0,863708,40000,863708,885708,6.938,,,,,100697672,193642496,225607680,290340864,267501568,9399288,1230,42,,
