elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,
60,41.531,2.914,1.516,4.426,33530,34.141,34.141,1.734,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,235,4935,1235,0,0,0,0,0,1000,19820,40355,6.750,19262069,18.370,60,3,,,,,,,,,809178382,789916313
120,57.828,3.176,2.520,5.695,32235,39.079,39.079,11.641,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,535,11235,1535,3000,3000,0,0,61355,3000,61355,82355,6.797,22710064,21.658,120,5,,,,,,,,,1969512470,1946802406
180,69.469,3.180,4.527,7.699,36288,45.297,45.297,17.062,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,728,15288,1728,5000,5000,0,0,103355,5000,103355,124355,6.797,24352412,23.224,150,6,,,,,,,,,2622002879,2597650467
240,85.000,3.137,4.527,7.660,20412,52.907,52.907,25.406,0.000,52,10,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,943,19803,943,7000,7000,0,0,145355,8000,166355,166355,6.812,30377426,28.970,240,9,,,,,,,,,5116295161,5085917735
300,95.906,3.250,4.527,7.777,23751,55.563,55.563,33.234,0.000,65,13,13,11,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,130,2730,1130,10000,10000,0,0,208355,10000,208355,229355,6.812,30849233,29.420,270,10,,,,,,,,,5871569458,5840720225
360,112.234,3.203,4.527,7.730,26145,61.204,61.204,43.719,0.000,78,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,245,5145,1245,12000,12000,0,0,250355,12000,250355,271355,7.031,33674234,32.114,360,13,,,,,,,,,9128904544,9095230310
420,124.391,3.270,8.543,11.812,30373,60.063,61.985,57.016,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21353,0,410,9020,1410,14000,14000,0,0,292355,14000,292355,313708,7.031,38117305,36.351,390,14,,,,,,,,,10303073366,10264956061
480,140.625,3.504,8.543,12.047,35420,63.610,63.610,70.156,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,610,13420,1610,16000,16000,0,0,335708,16000,335708,357708,7.031,44700741,42.630,480,17,,,,,,,,,14210452405,14165751664
540,149.906,3.297,8.543,11.844,39094,51.172,63.610,91.438,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,776,17072,1776,18000,18000,0,0,379708,18000,379708,401708,7.031,45822636,43.700,510,18,,,,,,,,,15654774220,15608951584
600,152.203,3.297,8.543,11.852,29832,48.266,63.610,96.641,0.000,130,23,23,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,985,21670,985,20000,20000,0,0,423708,21000,445708,445708,7.031,50071625,47.752,600,21,,,,,,,,,20522889772,20472818147
660,155.578,3.344,8.543,11.898,23100,48.266,63.610,100.016,0.000,143,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,50,1100,1050,23000,23000,0,0,489708,23000,489708,511708,7.031,51699310,49.304,630,22,,,,,,,,,21859103406,21807404096
720,164.797,3.438,8.543,11.977,26378,55.985,63.610,101.953,0.000,156,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,199,4378,1199,25000,25000,0,0,533708,25000,533708,555708,7.031,54370087,51.851,690,24,,,,,,,,,25777781927,25723411840
780,175.688,3.238,16.574,19.812,30360,58.641,63.610,110.078,0.000,169,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,380,8360,1380,27000,27000,0,0,577708,27000,577708,599708,7.031,64262094,61.285,780,27,,,,,,,,,31597355749,31533093655
840,180.656,3.246,16.574,19.820,33506,54.782,63.610,118.594,0.000,182,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,523,11506,1523,29000,29000,0,0,621708,29000,621708,643708,7.031,67465342,64.340,810,28,,,,,,,,,33639582744,33572117402
900,183.781,3.449,16.574,20.023,37840,51.922,63.610,124.797,0.000,195,34,34,32,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,720,15840,1720,31000,31000,0,0,665708,31000,665708,687708,7.031,70979535,67.691,900,31,,,,,,,,,40209975617,40138996082
