elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,
60,53.109,2.910,1.516,4.418,41448,44.422,44.422,2.438,0.000,13,4,4,0,4,1,0,0,0,0,2,0,0,0,2000,0,0,40356,0,51,1071,2051,0,0,0,0,0,0,0,40356,6.344,,,,,,,,,,,,,,
120,74.672,3.145,2.520,5.664,25893,57.844,60.985,10.828,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,138,2898,1138,2000,2000,0,0,40356,3000,61356,82356,6.453,,,,,,,,,,,,,,
180,97.141,2.930,2.520,5.445,37968,74.547,76.626,15.938,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,213,4473,1213,4000,4000,0,0,82356,5000,103356,124356,6.453,,,,,,,,,,,,,,
240,121.766,3.082,4.527,7.617,27090,99.532,99.532,16.406,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,290,6090,1290,7000,7000,0,0,145356,7000,145356,166356,6.453,,,,,,,,,,,,,,
300,135.578,3.203,4.527,7.734,28581,106.891,106.891,22.641,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,361,7581,1361,9000,9000,0,0,187356,9000,187356,208356,6.453,,,,,,,,,,,,,,
360,150.797,3.254,4.527,7.789,27195,132.313,133.016,11.969,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,294,6174,1294,11000,11000,0,0,229356,11000,229356,250356,6.656,,,,,,,,,,,,,,
420,162.000,3.180,8.543,11.723,29883,140.907,147.923,14.500,0.000,91,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,423,8883,1423,13000,13000,0,0,271356,13000,271356,292356,6.656,,,,,,,,,,,,,,
480,185.172,3.164,8.543,11.707,37136,151.813,153.298,26.906,0.000,104,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,688,15136,1688,15000,15000,0,0,313713,15000,313713,335713,6.656,,,,,,,,,,,,,,
540,196.156,3.102,8.543,11.637,40392,170.907,174.376,18.422,0.000,117,20,20,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,917,20174,917,17000,17000,0,0,357713,18000,379713,379713,6.656,,,,,,,,,,,,,,
600,204.781,3.262,8.543,11.805,22000,177.719,182.923,20.250,0.000,130,22,22,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,962,21164,962,19000,19000,0,0,401713,20000,423713,423713,6.656,,,,,,,,,,,,,,
660,211.719,3.355,8.543,11.895,41580,200.844,200.844,4.578,0.000,143,24,24,22,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,890,19580,1890,21000,21000,0,0,445713,21000,445713,467713,6.656,,,,,,,,,,,,,,
720,231.547,3.309,8.543,11.875,42592,203.173,204.907,21.844,0.000,156,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,936,20592,1936,23000,23000,0,0,489713,23000,489713,511713,6.656,,,,,,,,,,,,,,
780,258.031,3.172,8.543,11.715,42218,226.813,226.845,25.422,0.000,169,28,28,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,981,21582,981,25000,25000,0,0,533713,26000,555713,555713,6.656,,,,,,,,,,,,,,
840,271.297,3.355,16.574,19.930,28490,239.876,242.688,24.656,0.000,182,31,30,29,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,31,682,1031,27000,27000,0,0,577713,28000,599713,621713,6.656,,,,,,,,,,,,,,
900,282.562,3.359,16.574,19.930,24398,252.345,259.516,23.469,0.000,195,33,33,31,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,108,2376,1108,30000,30000,0,0,643713,30000,643713,665713,6.656,,,,,,,,,,,,,,
