elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,4.266,0.000,0.000,0.000,,6.235,6.235,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.703,,,,,,,,,,,,,,
60,54.812,3.086,1.516,4.598,24126,46.813,46.813,2.062,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,171,3591,1171,1000,1000,0,0,19822,1000,19822,40357,6.375,,,,,,,,,,,,,,
120,81.594,3.070,2.520,5.586,28644,62.547,62.547,12.406,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,364,7644,1364,3000,3000,0,0,61357,3000,61357,82357,6.469,,,,,,,,,,,,,,
180,102.656,3.023,4.527,7.551,33663,91.126,91.126,5.500,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,603,12663,1603,5000,5000,0,0,103357,5000,103357,124357,6.469,,,,,,,,,,,,,,
240,121.484,3.191,4.527,7.719,37506,103.485,103.485,11.391,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,786,16506,1786,7000,7000,0,0,145357,7000,145357,166357,6.469,,,,,,,,,,,,,,
300,133.922,3.164,4.527,7.688,40236,115.141,115.329,12.125,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,916,19236,1916,9000,9000,0,0,187357,9000,187357,208357,6.469,,,,,,,,,,,,,,
360,165.484,3.133,4.527,7.660,25326,138.141,138.141,20.672,0.000,78,14,14,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,938,19698,938,11000,11000,0,0,229357,12000,250357,250357,6.672,,,,,,,,,,,,,,
420,182.438,3.293,8.543,11.844,26324,167.657,167.657,8.344,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,226,4972,1226,14000,14000,0,0,292357,14000,292357,313709,6.672,,,,,,,,,,,,,,
480,192.000,3.238,8.543,11.781,32890,175.938,175.969,9.234,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,495,10890,1495,16000,16000,0,0,335709,16000,335709,357709,6.672,,,,,,,,,,,,,,
540,195.938,3.168,8.543,11.707,35838,184.579,184.579,4.531,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,629,13838,1629,18000,18000,0,0,379709,18000,379709,401709,6.672,,,,,,,,,,,,,,
600,220.359,3.172,8.543,11.715,37048,209.735,209.735,4.562,0.000,130,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,684,15048,1684,20000,20000,0,0,423709,20000,423709,445709,6.672,,,,,,,,,,,,,,
660,239.812,3.266,8.543,11.809,36102,225.938,227.720,8.156,0.000,143,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,641,14102,1641,22000,22000,0,0,467709,22000,467709,489709,6.672,,,,,,,,,,,,,,
720,261.828,3.312,8.543,11.855,38016,234.595,235.188,20.922,0.000,156,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,728,16016,1728,24000,24000,0,0,511709,24000,511709,533709,6.672,,,,,,,,,,,,,,
780,275.094,3.277,16.574,19.852,39820,240.766,246.798,27.578,0.000,169,29,29,27,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,810,17820,1810,26000,26000,0,0,555709,26000,555709,577709,6.672,,,,,,,,,,,,,,
840,297.828,3.242,16.574,19.812,40546,255.626,267.766,35.438,0.000,182,32,31,30,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,23,506,1023,28000,28000,0,0,599709,29000,621709,643709,6.672,,,,,,,,,,,,,,
900,307.266,3.383,16.574,19.961,31174,272.641,277.610,28.125,0.000,195,34,34,32,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,92,2024,1092,30000,30000,0,0,643709,31000,665709,687709,6.672,,,,,,,,,,,,,,
