elapsed_secs,amp_fp
300.0,3.227389
600.2,3.655483
900.4,3.608143
1200.6,3.851946
1500.8,3.937409
1801.0,3.764810
2101.2,3.730491
2401.4,3.530318
2701.7,3.453097
3001.9,3.585904
3302.1,3.315993
3602.4,3.414940
3902.6,3.045518
4202.9,2.853623
4503.2,2.885298
4803.5,2.751403
5103.9,2.731806
5404.3,2.674005
5704.6,2.713550
6005.2,2.604511
6305.7,2.513599
6606.1,2.424662
6906.4,2.439736
7206.8,2.380352
7507.3,2.457712
7807.7,2.253104
8108.2,2.305429
8408.7,2.288264
8709.1,2.324418
9009.8,2.182846
9310.2,2.133941
9610.8,2.176925
9911.4,2.094034
10211.9,1.984192
10512.4,1.986855
10812.8,1.914824
11113.3,2.005960
11413.8,1.992745
11714.3,1.981560
12014.7,2.147922
12315.3,2.136706
12615.8,2.146764
12916.4,2.213341
13216.9,2.085208
13517.5,2.110294
13818.3,2.106661
14119.0,2.096749
14401.6,2.071963
