elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,
60,55.500,2.992,1.516,4.504,37304,47.094,47.094,3.609,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20535,0,169,3549,1169,0,0,0,0,0,1000,19820,40355,6.391,,,,,,,,,,,,,,
120,79.203,3.035,2.520,5.555,29778,61.766,61.954,10.984,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,418,8778,1418,3000,3000,0,0,61355,3000,61355,82355,6.469,,,,,,,,,,,,,,
180,99.234,3.180,2.520,5.711,33726,84.985,84.985,7.984,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,606,12726,1606,5000,5000,0,0,103355,5000,103355,124355,6.469,,,,,,,,,,,,,,
240,115.656,3.312,4.527,7.840,38178,99.235,99.844,9.734,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,818,17178,1818,7000,7000,0,0,145355,7000,145355,166355,6.469,,,,,,,,,,,,,,
300,130.984,3.285,4.527,7.812,25746,110.469,115.797,14.875,0.000,65,13,13,11,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,50,1050,1050,9000,9000,0,0,187355,10000,208355,229355,6.469,,,,,,,,,,,,,,
360,154.344,3.422,4.527,7.949,23751,137.673,137.673,10.609,0.000,78,15,15,13,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,131,2751,1131,12000,12000,0,0,250355,12000,250355,271355,6.672,,,,,,,,,,,,,,
420,172.672,3.266,8.543,11.809,29470,144.641,147.266,22.438,0.000,91,17,17,15,2,1,0,0,0,0,1,0,0,0,1000,0,0,21352,0,369,8118,1369,14000,14000,0,0,292355,14000,292355,313707,6.672,,,,,,,,,,,,,,
480,182.469,3.160,8.543,11.711,34122,155.626,155.626,20.250,0.000,104,19,19,17,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,551,12122,1551,16000,16000,0,0,335707,16000,335707,357707,6.672,,,,,,,,,,,,,,
540,196.891,3.301,8.543,11.844,39182,160.266,164.532,29.797,0.000,117,21,21,19,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,781,17182,1781,18000,18000,0,0,379707,18000,379707,401707,6.672,,,,,,,,,,,,,,
