elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,15.062,0.172,1.516,1.680,90,10.438,10.438,0.000,0.000,2,2,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,90,5,0,0,0,0,0,0,0,0,6.047,,,,,,,,,,,,,,
60,40.328,3.016,1.516,4.527,41972,33.688,33.688,0.172,0.000,14,4,4,0,4,1,0,0,0,0,2,0,0,0,2000,0,0,40355,0,77,1617,2077,0,0,0,0,0,0,0,40355,6.234,,,,,,,,,,,,,,
120,52.312,2.965,2.520,5.496,40950,37.672,37.891,8.094,0.000,27,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,159,3339,1159,2000,2000,0,0,40355,3000,61355,82355,6.312,,,,,,,,,,,,,,
180,62.406,2.996,2.520,5.516,39417,43.047,43.047,12.750,0.000,40,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,184,3864,1184,4000,4000,0,0,82355,5000,103355,124355,6.312,,,,,,,,,,,,,,
240,77.438,3.184,4.527,7.707,32109,50.766,50.766,22.109,0.000,53,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,227,4767,1227,6000,6000,0,0,124355,7000,145355,166355,6.312,,,,,,,,,,,,,,
300,108.547,3.266,4.527,7.801,27594,60.391,62.500,41.891,0.000,66,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,303,6363,1303,8000,8000,0,0,166355,9000,187355,208355,6.312,,,,,,,,,,,,,,
360,142.875,3.266,4.527,7.793,27489,68.532,69.547,67.672,0.000,79,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,309,6489,1309,11000,11000,0,0,229355,11000,229355,250355,6.484,,,,,,,,,,,,,,
420,171.688,3.332,8.543,11.875,29715,62.376,69.563,102.969,0.000,92,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,414,8694,1414,13000,13000,0,0,271355,13000,271355,292355,6.484,,,,,,,,,,,,,,
480,199.016,3.320,8.543,11.863,31548,51.954,69.563,140.484,0.000,105,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,434,9548,1434,15000,15000,0,0,313706,15000,313706,335706,6.484,,,,,,,,,,,,,,
540,237.812,3.445,8.543,11.984,32516,63.001,69.563,168.562,0.000,118,20,20,18,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,478,10516,1478,17000,17000,0,0,357706,17000,357706,379706,6.484,,,,,,,,,,,,,,
600,272.422,3.473,8.543,12.016,33572,68.469,76.704,197.453,0.000,131,22,22,20,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,526,11572,1526,19000,19000,0,0,401706,19000,401706,423706,6.484,,,,,,,,,,,,,,
660,307.812,3.348,8.543,11.887,32340,64.954,76.704,237.422,0.000,144,24,24,22,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,470,10340,1470,21000,21000,0,0,445706,21000,445706,467706,6.484,,,,,,,,,,,,,,
720,347.484,3.230,8.543,11.777,33682,66.188,76.704,274.828,0.000,157,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,531,11682,1531,23000,23000,0,0,489706,23000,489706,511706,6.484,,,,,,,,,,,,,,
780,390.672,3.219,8.543,11.766,35046,70.548,76.704,313.688,0.000,170,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,593,13046,1593,25000,25000,0,0,533706,25000,533706,555706,6.484,,,,,,,,,,,,,,
840,435.422,3.227,16.574,19.797,35662,74.438,79.626,354.375,0.000,183,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,621,13662,1621,27000,27000,0,0,577706,27000,577706,599706,6.484,,,,,,,,,,,,,,
900,467.312,3.145,16.574,19.723,36938,74.782,86.532,386.031,0.000,196,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,679,14938,1679,29000,29000,0,0,621706,29000,621706,643706,6.484,,,,,,,,,,,,,,
