elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,3.250,0.000,0.000,0.000,,2.235,2.235,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656,,,,,,,,,,,,,,
60,40.703,3.148,1.516,4.660,21565,34.407,34.407,0.391,0.000,13,4,3,2,2,1,1,1,1,0,0,1,0,0,0,1000,0,20536,0,49,1029,1049,1000,1000,0,0,19821,1000,19821,40357,6.203,,,,,,,,,,,,,,
120,55.078,3.059,2.520,5.578,23121,38.532,38.532,9.953,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,101,2121,1101,3000,3000,0,0,61357,3000,61357,82357,6.281,,,,,,,,,,,,,,
180,65.516,3.188,2.520,5.711,24339,43.672,44.313,15.250,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,159,3339,1159,5000,5000,0,0,103357,5000,103357,124357,6.281,,,,,,,,,,,,,,
240,80.078,3.242,4.527,7.770,26187,54.094,54.094,19.406,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,246,5166,1246,7000,7000,0,0,145357,7000,145357,166357,6.281,,,,,,,,,,,,,,
300,91.172,3.133,4.527,7.660,27363,64.063,64.063,20.531,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,303,6363,1303,9000,9000,0,0,187357,9000,187357,208357,6.281,,,,,,,,,,,,,,
360,104.578,3.219,4.527,7.758,26250,58.844,65.500,39.297,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,250,5250,1250,11000,11000,0,0,229357,11000,229357,250357,6.453,,,,,,,,,,,,,,
420,137.938,3.355,8.543,11.898,27699,87.329,87.329,44.219,0.000,91,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,319,6699,1319,13000,13000,0,0,271357,13000,271357,292357,6.453,,,,,,,,,,,,,,
480,179.141,3.340,8.543,11.879,30602,102.766,102.766,69.672,0.000,104,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,391,8602,1391,15000,15000,0,0,313709,15000,313709,335709,6.453,,,,,,,,,,,,,,
540,233.484,3.305,8.543,11.859,32450,99.235,114.751,127.578,0.000,117,20,20,18,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,475,10450,1475,17000,17000,0,0,357709,17000,357709,379709,6.453,,,,,,,,,,,,,,
600,279.875,3.242,8.543,11.785,33440,116.219,131.141,157.016,0.000,130,22,22,20,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,520,11440,1520,19000,19000,0,0,401709,19000,401709,423709,6.453,,,,,,,,,,,,,,
660,317.078,3.258,8.543,11.801,31878,97.110,131.141,213.656,0.000,143,24,24,22,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,448,9856,1448,21000,21000,0,0,445709,21000,445709,467709,6.469,,,,,,,,,,,,,,
720,383.062,3.312,8.543,11.852,36058,88.610,131.141,288.156,0.000,156,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,638,14036,1638,23000,23000,0,0,489709,23000,489709,511709,6.469,,,,,,,,,,,,,,
780,445.766,3.328,8.543,11.875,39600,87.469,131.141,351.750,0.000,169,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,800,17600,1800,25000,25000,0,0,533709,25000,533709,555709,6.469,,,,,,,,,,,,,,
840,495.625,3.367,16.574,19.957,40524,86.063,131.141,403.047,0.000,182,30,30,28,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,842,18524,1842,27000,27000,0,0,577709,27000,577709,599709,6.469,,,,,,,,,,,,,,
900,551.875,3.250,16.574,19.820,41690,84.501,131.141,461.062,0.000,195,32,32,30,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,895,19690,1895,29000,29000,0,0,621709,29000,621709,643709,6.469,,,,,,,,,,,,,,
