elapsed_secs,amp_fp
300.0,1.809396
600.2,1.439318
900.4,1.048819
1200.6,0.843061
1500.8,0.809547
1801.0,0.773339
2101.3,0.681580
2401.5,0.661085
2701.8,0.671478
3002.0,0.676657
3302.2,0.670051
3602.4,0.627735
3902.7,0.626821
4203.0,0.614215
4503.3,0.619959
4803.6,0.654393
5104.1,0.563998
5404.5,0.614750
5704.9,0.945193
6005.2,0.834974
6305.8,1.025644
6606.2,0.686507
6906.8,0.751407
7207.2,0.805487
7507.7,0.656748
7808.3,0.590833
8108.8,0.582984
8409.2,0.484574
8709.8,0.365685
9010.4,0.353272
9310.8,0.348120
9611.2,0.330954
9911.7,0.379599
10212.3,0.383565
10512.7,0.374176
10813.3,0.370578
11113.7,0.395751
11414.3,0.426190
11714.9,0.347723
12015.3,0.323389
12315.9,0.475344
12616.5,0.496121
12917.1,0.502932
13217.7,0.503080
13518.3,0.490441
13819.2,0.481014
14119.9,0.477598
14401.8,0.468309
