elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,15.719,0.242,1.516,1.758,108,9.766,9.766,0.000,0.000,2,2,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,108,6,0,0,0,0,0,0,0,0,6.047,,,,,,,,,,,,,,
60,40.781,3.094,1.516,4.609,21061,28.672,32.360,5.625,0.000,15,4,3,2,2,1,1,1,1,0,0,1,0,0,0,1000,0,20536,0,25,525,1025,1000,1000,0,0,19821,1000,19821,40357,6.203,,,,,,,,,,,,,,
120,52.953,3.176,2.520,5.695,22155,36.438,40.391,9.938,0.000,27,6,5,4,2,1,1,1,1,0,0,1,0,0,0,1000,0,21000,0,55,1155,1055,3000,3000,0,0,61357,3000,61357,82357,6.281,,,,,,,,,,,,,,
180,63.547,3.254,2.520,5.770,22365,42.360,42.360,14.641,0.000,40,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,65,1365,1065,5000,5000,0,0,103357,5000,103357,124357,6.281,,,,,,,,,,,,,,
240,90.312,3.328,4.527,7.852,23730,59.204,63.126,24.688,0.000,54,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,130,2730,1130,7000,7000,0,0,145357,7000,145357,166357,6.281,,,,,,,,,,,,,,
300,120.594,3.219,4.527,7.750,23394,59.016,63.438,55.031,0.000,67,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,114,2394,1114,9000,9000,0,0,187357,9000,187357,208357,6.281,,,,,,,,,,,,,,
360,150.375,3.188,4.527,7.715,43197,60.891,68.094,82.891,0.000,79,14,14,11,3,1,0,0,0,0,2,0,0,0,2000,0,0,42000,0,57,1197,2057,10000,10000,0,0,208357,10000,208357,250357,6.453,,,,,,,,,,,,,,
420,193.734,3.211,4.527,7.738,43575,69.735,82.829,117.312,0.000,92,16,16,13,3,1,0,0,0,0,2,0,0,0,2000,0,0,42000,0,75,1575,2075,12000,12000,0,0,250357,12000,250357,292357,6.453,,,,,,,,,,,,,,
480,234.922,3.223,8.543,11.770,45552,70.860,82.829,157.547,0.000,105,18,18,15,3,1,0,0,0,0,2,0,0,0,2000,0,0,43352,0,100,2200,2100,14000,14000,0,0,292357,14000,292357,335709,6.453,,,,,,,,,,,,,,
540,287.031,3.133,8.543,11.676,44462,79.094,88.282,202.484,0.000,118,20,20,18,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,126,2772,1126,16000,16000,0,0,335709,17000,357709,379709,6.453,,,,,,,,,,,,,,
