elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,0.031,0.000,0.000,0.000,,0.078,0.094,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,,
61,42.078,2.891,1.516,4.410,37163,32.657,32.657,2.719,0.000,13,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20536,0,107,2247,1107,0,0,0,0,0,1000,19819,40355,6.500,19371996,18.475,60,3,,,,,,,,,719208826,699836830
120,55.922,3.113,2.520,5.633,26061,40.375,40.375,8.781,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,241,5061,1241,3000,3000,0,0,61355,3000,61355,82355,6.594,21534257,20.537,90,4,,,,,,,,,1201473399,1179939142
180,67.359,3.109,2.520,5.633,29694,43.172,44.891,17.641,0.000,39,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,414,8694,1414,5000,5000,0,0,103355,5000,103355,124355,6.594,26322625,25.103,180,7,,,,,,,,,2891704149,2865381524
240,82.516,3.270,4.527,7.797,32277,53.688,53.688,22.344,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,537,11277,1537,7000,7000,0,0,145355,7000,145355,166355,6.594,27710137,26.426,210,8,,,,,,,,,3557203077,3529492940
300,92.625,3.227,4.527,7.750,34776,53.985,55.204,32.125,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,656,13776,1656,9000,9000,0,0,187355,9000,187355,208355,6.594,31172361,29.728,270,10,,,,,,,,,5010741646,4979569285
360,106.188,3.160,4.527,7.688,34818,58.079,58.079,41.484,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,657,13797,1657,11000,11000,0,0,229355,11000,229355,250355,6.812,36297565,34.616,360,13,,,,,,,,,7462410460,7426112895
420,117.969,3.172,8.543,11.711,37336,56.922,65.751,54.031,0.000,91,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,772,16336,1772,13000,13000,0,0,271355,13000,271355,292355,6.812,38478720,36.696,390,14,,,,,,,,,8399711161,8361232441
480,128.953,3.266,8.543,11.809,41580,55.610,65.751,66.250,0.000,104,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,890,19580,1890,15000,15000,0,0,313707,15000,313707,335707,6.812,42851882,40.867,450,16,,,,,,,,,10510608976,10467757094
540,145.719,3.086,8.543,11.633,43428,57.282,69.454,81.375,0.000,117,21,20,19,2,1,1,1,1,0,0,1,0,0,0,1000,0,22000,0,37,814,1037,17000,17000,0,0,357707,18000,379707,401707,6.812,45429564,43.325,510,18,,,,,,,,,12869460751,12824031187
600,149.797,3.309,8.543,11.848,25476,56.391,69.454,87.719,0.000,130,23,23,21,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,158,3476,1158,20000,20000,0,0,423707,20000,423707,445707,6.828,47011946,44.834,570,20,,,,,,,,,15289981792,15242969846
660,157.734,3.371,8.543,11.914,26774,55.391,69.454,95.250,0.000,143,25,25,23,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,217,4774,1217,22000,22000,0,0,467707,22000,467707,489707,6.828,52406032,49.978,660,23,,,,,,,,,19197893335,19145487303
720,160.328,3.203,8.543,11.738,29634,52.766,69.454,100.469,0.000,156,27,27,25,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,345,7590,1345,24000,24000,0,0,511707,24000,511707,533707,6.828,54028082,51.525,690,24,,,,,,,,,20625717478,20571689396
780,172.016,3.312,16.574,19.891,32780,58.907,69.454,106.016,0.000,169,29,29,27,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,490,10780,1490,26000,26000,0,0,555707,26000,555707,577707,6.828,54285658,51.771,780,27,,,,,,,,,25222848159,25168562501
840,175.219,3.477,16.574,20.051,35948,55.547,69.454,113.250,0.000,182,31,31,29,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,634,13948,1634,28000,28000,0,0,599707,28000,599707,621707,6.828,65864705,62.813,810,28,,,,,,,,,26880689576,26814824871
900,181.281,3.238,16.574,19.812,31416,53.641,69.454,120.562,0.000,195,33,33,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,756,16632,756,30000,30000,0,0,643707,31000,665707,665707,6.828,69743296,66.512,870,30,,,,,,,,,30335268222,30265524926
