elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,3.438,0.000,0.000,0.000,,3.172,3.172,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.609,91100,0.087,0,1,,,,,,,,,92120,1020
60,40.484,2.773,1.516,4.309,41345,29.829,30.188,3.875,0.000,14,4,4,2,2,1,0,0,0,0,1,0,0,0,1000,0,0,20533,0,145,3045,1145,0,0,0,0,0,1000,19822,40355,6.547,19293041,18.399,60,3,,,,,,,,,731646313,712353272
120,56.000,2.969,2.520,5.488,26397,36.985,38.391,12.125,0.000,26,6,6,4,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,241,5061,1241,2000,2000,0,0,40355,3000,61355,82355,6.641,23113142,22.042,120,5,,,,,,,,,1841990941,1818877799
180,65.094,3.195,2.520,5.711,29316,40.766,41.094,17.422,0.000,40,8,8,6,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,396,8316,1396,5000,5000,0,0,103355,5000,103355,124355,6.641,25898904,24.699,180,7,,,,,,,,,3144596408,3118697504
240,79.875,3.320,4.527,7.852,31416,46.672,49.875,26.562,0.000,52,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,493,10353,1496,7000,7000,0,0,145355,7000,145355,166355,6.641,30359577,28.953,240,9,,,,,,,,,4694802647,4664443070
300,90.641,3.191,4.527,7.719,33915,46.500,49.875,37.562,0.000,65,12,12,10,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,615,12915,1615,9000,9000,0,0,187355,9000,187355,208355,6.641,32615484,31.105,300,11,,,,,,,,,6480985081,6448369597
360,103.672,3.098,4.527,7.625,33978,52.454,54.750,44.062,0.000,78,14,14,12,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,618,12978,1618,11000,11000,0,0,229355,11000,229355,250355,6.859,36034418,34.365,360,13,,,,,,,,,8407890860,8371856442
420,120.281,3.125,8.543,11.668,33537,52.047,57.891,61.094,0.000,91,16,16,14,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,597,12537,1597,13000,13000,0,0,271355,13000,271355,292355,6.859,41719483,39.787,420,15,,,,,,,,,10570167797,10528448314
480,130.078,3.137,8.543,11.684,34716,46.704,57.891,76.250,0.000,104,18,18,16,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,578,12716,1578,15000,15000,0,0,313708,15000,313708,335708,6.859,43596532,41.577,480,17,,,,,,,,,12922531371,12878934839
540,150.750,3.168,8.543,11.719,34606,50.469,57.985,93.156,0.000,117,20,20,18,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,573,12606,1573,17000,17000,0,0,357708,17000,357708,379708,6.859,46112707,43.977,540,19,,,,,,,,,15532878432,15486765725
600,157.172,3.188,8.543,11.730,33550,43.829,57.985,106.484,0.000,130,22,22,20,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,525,11550,1525,19000,19000,0,0,401708,19000,401708,423708,6.859,48616031,46.364,600,21,,,,,,,,,18320341685,18271725654
660,161.734,3.289,8.543,11.836,30602,43.579,57.985,111.047,0.000,143,24,24,22,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,391,8602,1391,21000,21000,0,0,445708,21000,445708,467708,6.859,51743685,49.347,660,23,,,,,,,,,21230024257,21178280572
720,170.250,3.461,8.543,12.000,32010,50.172,57.985,113.391,0.000,156,26,26,24,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,455,10010,1455,23000,23000,0,0,489708,23000,489708,511708,6.859,53858834,51.364,720,25,,,,,,,,,24543811482,24489952648
780,242.750,3.387,8.543,11.930,35178,104.907,104.907,131.172,0.000,169,28,28,26,2,1,0,0,0,0,1,0,0,0,1000,0,0,22000,0,599,13178,1599,25000,25000,0,0,533708,25000,533708,555708,6.859,60214588,57.425,780,27,,,,,,,,,28240804624,28180590036
840,308.297,3.230,16.574,19.805,24486,136.907,136.907,166.203,0.000,182,30,30,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,772,16984,774,27000,27000,0,0,577708,28000,599708,599708,6.859,67655937,64.522,840,29,,,,,,,,,32471449404,32403793467
900,371.094,3.285,16.574,19.859,20372,165.532,165.532,198.547,0.000,195,32,32,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,926,20372,926,30000,30000,0,0,643708,30000,643708,643708,6.859,69319747,66.108,900,31,,,,,,,,,36927888818,36858569071
