elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb,alloc_live_bytes,alloc_live_mb,alloc_probe_elapsed_s,alloc_probe_seq,je_allocated,je_active,je_resident,je_retained,je_mapped,je_metadata,je_probe_elapsed_s,je_probe_seq,bytes_alloc,bytes_dealloc
0,4.188,0.000,0.000,0.000,,2.610,2.610,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.219,,,,,,,,,,,,,,
60,43.031,2.223,1.516,3.734,19559,35.469,35.469,0.000,0.000,13,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,987,19559,987,0,0,0,0,0,0,0,0,7.266,,,,,,,,,,,,,,
120,51.000,2.234,1.516,3.750,15956,39.954,47.344,3.328,0.000,26,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,782,15956,783,1000,1000,0,0,19819,1000,19819,19819,7.391,,,,,,,,,,,,,,
180,55.266,2.223,2.520,4.742,15204,40.641,47.344,6.906,0.000,38,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529,11109,530,1000,1000,0,0,19819,2000,40353,40353,7.391,,,,,,,,,,,,,,
240,59.953,2.176,2.020,4.195,19551,45.360,47.344,6.906,0.000,51,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,5334,255,2000,2000,0,0,40353,3000,61353,61353,7.391,,,,,,,,,,,,,,
300,65.078,2.273,3.527,5.797,18984,50.469,50.469,6.906,0.000,63,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,904,18984,904,3000,3000,0,0,61353,3000,61353,61353,7.391,,,,,,,,,,,,,,
360,69.938,2.207,3.527,5.730,12894,50.313,51.360,11.719,0.000,76,6,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,424,8904,424,3000,3000,0,0,61353,4000,82353,82353,7.594,,,,,,,,,,,,,,
420,70.125,2.320,3.527,5.844,23100,47.969,51.360,14.266,0.000,88,7,7,5,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,98,2058,1099,4000,4000,0,0,82353,4000,82353,103353,7.594,,,,,,,,,,,,,,
480,74.797,2.336,3.527,5.863,11907,51.719,51.719,15.172,0.000,100,7,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,564,11844,565,5000,5000,0,0,103353,5000,103353,103353,7.594,,,,,,,,,,,,,,
540,77.375,2.250,3.527,5.777,24675,52.954,53.532,16.531,0.000,113,8,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216,4536,217,5000,5000,0,0,103353,6000,124353,124353,7.594,,,,,,,,,,,,,,
600,82.125,2.281,6.543,8.824,13062,55.016,55.016,19.234,0.000,125,8,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,620,13020,622,6000,6000,0,0,124353,6000,124353,124353,7.594,,,,,,,,,,,,,,
660,86.250,2.293,6.543,8.836,25116,55.032,55.610,24.016,0.000,137,9,9,7,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,196,4116,1196,6000,6000,0,0,124353,6000,124353,145353,7.594,,,,,,,,,,,,,,
720,99.594,2.242,6.543,8.785,13776,66.657,75.188,25.188,0.000,149,9,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,559,11739,560,6000,6000,0,0,124353,7000,145353,145353,7.594,,,,,,,,,,,,,,
780,102.375,2.344,6.543,8.887,23562,62.938,75.188,31.562,0.000,162,10,10,8,2,1,0,0,0,0,1,0,0,0,1000,0,0,21000,0,121,2541,1121,7000,7000,0,0,145353,7000,145353,166353,7.594,,,,,,,,,,,,,,
840,103.922,2.250,6.543,8.793,13713,64.485,75.188,31.562,0.000,174,10,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,479,10059,480,7000,7000,0,0,145353,8000,166353,166353,7.594,,,,,,,,,,,,,,
900,107.719,2.297,6.543,8.840,20769,64.422,75.188,35.422,0.000,186,10,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,988,20748,989,8000,8000,0,0,166353,8000,166353,166353,7.594,,,,,,,,,,,,,,
